missing data:, DRP, on date:, 7,5,2001, filled with average monthly concentration (mg/L):, 0.006905, to get load of (kg/d):, 14.0892 
missing data:, DRP, on date:, 7,6,2001, filled with average monthly concentration (mg/L):, 0.006215, to get load of (kg/d):, 12.7878 
missing data:, DRP, on date:, 7,7,2001, filled with average monthly concentration (mg/L):, 0.005835, to get load of (kg/d):, 12.5341 
missing data:, DRP, on date:, 7,8,2001, filled with average monthly concentration (mg/L):, 0.0054, to get load of (kg/d):, 12.0092 
missing data:, DRP, on date:, 9,4,2001, filled with average monthly concentration (mg/L):, 0.01336, to get load of (kg/d):, 13.6628 
missing data:, DRP, on date:, 9,5,2001, filled with average monthly concentration (mg/L):, 0.0103, to get load of (kg/d):, 8.4671 
missing data:, DRP, on date:, 9,6,2001, filled with average monthly concentration (mg/L):, 0.00914, to get load of (kg/d):, 4.4276 
missing data:, DRP, on date:, 9,7,2001, filled with average monthly concentration (mg/L):, 0.00786, to get load of (kg/d):, 4.4614 
missing data:, DRP, on date:, 9,8,2001, filled with average monthly concentration (mg/L):, 0.00753, to get load of (kg/d):, 3.5556 
missing data:, DRP, on date:, 9,10,2001, filled with average monthly concentration (mg/L):, 0.008245, to get load of (kg/d):, 10.9736 
missing data:, DRP, on date:, 9,11,2001, filled with average monthly concentration (mg/L):, 0.009565, to get load of (kg/d):, 16.7086 
missing data:, DRP, on date:, 10,15,2001, filled with average monthly concentration (mg/L):, 0.1258, to get load of (kg/d):, 7140.2766 
missing data:, DRP, on date:, 10,16,2001, filled with average monthly concentration (mg/L):, 0.13124, to get load of (kg/d):, 8026.9973 
missing data:, DRP, on date:, 10,17,2001, filled with average monthly concentration (mg/L):, 0.13182, to get load of (kg/d):, 11222.9618 
missing data:, DRP, on date:, 10,18,2001, filled with average monthly concentration (mg/L):, 0.13125, to get load of (kg/d):, 10982.0479 
missing data:, DRP, on date:, 10,19,2001, filled with average monthly concentration (mg/L):, 0.13355, to get load of (kg/d):, 8658.384 
missing data:, DRP, on date:, 10,20,2001, filled with average monthly concentration (mg/L):, 0.13065, to get load of (kg/d):, 5881.4601 
missing data:, DRP, on date:, 11,23,2001, filled with average monthly concentration (mg/L):, 0.01454, to get load of (kg/d):, 33.4032 
missing data:, DRP, on date:, 11,24,2001, filled with average monthly concentration (mg/L):, 0.0122, to get load of (kg/d):, 27.5499 
missing data:, DRP, on date:, 11,25,2001, filled with average monthly concentration (mg/L):, 0.011287, to get load of (kg/d):, 36.7261 
missing data:, DRP, on date:, 3,27,2002, filled with average monthly concentration (mg/L):, 0.028847, to get load of (kg/d):, 158.089 
missing data:, DRP, on date:, 3,28,2002, filled with average monthly concentration (mg/L):, 0.033573, to get load of (kg/d):, 223.4196 
missing data:, DRP, on date:, 3,29,2002, filled with average monthly concentration (mg/L):, 0.03819, to get load of (kg/d):, 315.8088 
missing data:, DRP, on date:, 3,30,2002, filled with average monthly concentration (mg/L):, 0.042507, to get load of (kg/d):, 2527.0931 
missing data:, DRP, on date:, 3,31,2002, filled with average monthly concentration (mg/L):, 0.046887, to get load of (kg/d):, 5517.6272 
missing data:, DRP, on date:, 4,1,2002, filled with average monthly concentration (mg/L):, 0.05205, to get load of (kg/d):, 6036.1079 
missing data:, DRP, on date:, 5,17,2002, filled with average monthly concentration (mg/L):, 0.070473, to get load of (kg/d):, 3982.857 
missing data:, DRP, on date:, 5,18,2002, filled with average monthly concentration (mg/L):, 0.073813, to get load of (kg/d):, 3431.2024 
missing data:, DRP, on date:, 5,19,2002, filled with average monthly concentration (mg/L):, 0.074723, to get load of (kg/d):, 2833.6477 
missing data:, DRP, on date:, 5,26,2002, filled with average monthly concentration (mg/L):, 0.058512, to get load of (kg/d):, 483.8571 
missing data:, DRP, on date:, 5,31,2002, filled with average monthly concentration (mg/L):, 0.053205, to get load of (kg/d):, 687.2967 
missing data:, DRP, on date:, 6,1,2002, filled with average monthly concentration (mg/L):, 0.053745, to get load of (kg/d):, 653.5102 
missing data:, DRP, on date:, 6,2,2002, filled with average monthly concentration (mg/L):, 0.055405, to get load of (kg/d):, 357.8581 
missing data:, DRP, on date:, 6,25,2002, filled with average monthly concentration (mg/L):, 0.02409, to get load of (kg/d):, 57.4055 
missing data:, DRP, on date:, 6,26,2002, filled with average monthly concentration (mg/L):, 0.02314, to get load of (kg/d):, 97.9416 
missing data:, DRP, on date:, 6,27,2002, filled with average monthly concentration (mg/L):, 0.02478, to get load of (kg/d):, 167.9341 
missing data:, DRP, on date:, 7,28,2002, filled with average monthly concentration (mg/L):, 0.03147, to get load of (kg/d):, 43.6554 
missing data:, DRP, on date:, 8,28,2002, filled with average monthly concentration (mg/L):, 0.01173, to get load of (kg/d):, 22.6716 
missing data:, DRP, on date:, 8,30,2002, filled with average monthly concentration (mg/L):, 0.01242, to get load of (kg/d):, 12.185 
missing data:, DRP, on date:, 8,31,2002, filled with average monthly concentration (mg/L):, 0.01242, to get load of (kg/d):, 7.8397 
missing data:, DRP, on date:, 9,1,2002, filled with average monthly concentration (mg/L):, 0.01172, to get load of (kg/d):, 5.4767 
missing data:, DRP, on date:, 9,27,2002, filled with average monthly concentration (mg/L):, 0.019265, to get load of (kg/d):, 17.7221 
missing data:, DRP, on date:, 9,28,2002, filled with average monthly concentration (mg/L):, 0.019695, to get load of (kg/d):, 22.2616 
missing data:, DRP, on date:, 9,29,2002, filled with average monthly concentration (mg/L):, 0.019865, to get load of (kg/d):, 19.9751 
missing data:, DRP, on date:, 10,16,2002, filled with average monthly concentration (mg/L):, 0.01011, to get load of (kg/d):, 4.9964 
missing data:, DRP, on date:, 10,29,2002, filled with average monthly concentration (mg/L):, 0.00322, to get load of (kg/d):, 1.5441 
missing data:, DRP, on date:, 10,30,2002, filled with average monthly concentration (mg/L):, 0.003055, to get load of (kg/d):, 3.3485 
missing data:, DRP, on date:, 4,11,2003, filled with average monthly concentration (mg/L):, 0.069807, to get load of (kg/d):, 2493.4902 
missing data:, DRP, on date:, 4,27,2003, filled with average monthly concentration (mg/L):, 0.00041, to get load of (kg/d):, 1.2338 
missing data:, DRP, on date:, 4,30,2003, filled with average monthly concentration (mg/L):, 0.011638, to get load of (kg/d):, 32.1756 
missing data:, DRP, on date:, 5,2,2003, filled with average monthly concentration (mg/L):, 0.034722, to get load of (kg/d):, 216.6201 
missing data:, DRP, on date:, 5,4,2003, filled with average monthly concentration (mg/L):, 0.058668, to get load of (kg/d):, 912.8907 
missing data:, DRP, on date:, 5,16,2003, filled with average monthly concentration (mg/L):, 0.10812, to get load of (kg/d):, 5317.0825 
missing data:, DRP, on date:, 5,17,2003, filled with average monthly concentration (mg/L):, 0.10476, to get load of (kg/d):, 3562.6094 
missing data:, DRP, on date:, 6,1,2003, filled with average monthly concentration (mg/L):, 0.015055, to get load of (kg/d):, 77.3496 
missing data:, DRP, on date:, 6,5,2003, filled with average monthly concentration (mg/L):, 0.008995, to get load of (kg/d):, 37.6318 
missing data:, DRP, on date:, 6,6,2003, filled with average monthly concentration (mg/L):, 0.005135, to get load of (kg/d):, 26.6339 
missing data:, DRP, on date:, 6,7,2003, filled with average monthly concentration (mg/L):, 0.00888, to get load of (kg/d):, 43.6684 
missing data:, DRP, on date:, 6,8,2003, filled with average monthly concentration (mg/L):, 0.01542, to get load of (kg/d):, 72.0569 
missing data:, DRP, on date:, 6,10,2003, filled with average monthly concentration (mg/L):, 0.03516, to get load of (kg/d):, 121.2903 
missing data:, DRP, on date:, 6,11,2003, filled with average monthly concentration (mg/L):, 0.04383, to get load of (kg/d):, 196.2368 
missing data:, DRP, on date:, 6,12,2003, filled with average monthly concentration (mg/L):, 0.053555, to get load of (kg/d):, 330.1859 
missing data:, DRP, on date:, 6,13,2003, filled with average monthly concentration (mg/L):, 0.065275, to get load of (kg/d):, 681.9188 
missing data:, DRP, on date:, 6,14,2003, filled with average monthly concentration (mg/L):, 0.077395, to get load of (kg/d):, 1569.7314 
missing data:, DRP, on date:, 10,2,2003, filled with average monthly concentration (mg/L):, 0.10545, to get load of (kg/d):, 1942.7334 
missing data:, DRP, on date:, 10,10,2003, filled with average monthly concentration (mg/L):, 0.093385, to get load of (kg/d):, 301.5845 
missing data:, DRP, on date:, 10,11,2003, filled with average monthly concentration (mg/L):, 0.095635, to get load of (kg/d):, 250.3563 
missing data:, DRP, on date:, 10,12,2003, filled with average monthly concentration (mg/L):, 0.097305, to get load of (kg/d):, 283.2957 
missing data:, DRP, on date:, 10,13,2003, filled with average monthly concentration (mg/L):, 0.10429, to get load of (kg/d):, 298.5433 
missing data:, DRP, on date:, 12,10,2003, filled with average monthly concentration (mg/L):, 0.12096, to get load of (kg/d):, 1781.5916 
missing data:, DRP, on date:, 12,13,2003, filled with average monthly concentration (mg/L):, 0.12096, to get load of (kg/d):, 5267.8289 
missing data:, DRP, on date:, 12,14,2003, filled with average monthly concentration (mg/L):, 0.12012, to get load of (kg/d):, 3585.3625 
missing data:, DRP, on date:, 12,15,2003, filled with average monthly concentration (mg/L):, 0.11945, to get load of (kg/d):, 1925.8812 
missing data:, DRP, on date:, 12,16,2003, filled with average monthly concentration (mg/L):, 0.11888, to get load of (kg/d):, 1654.9275 
