missing data:, TP, on date:, 9,5,2001, filled with average monthly concentration (mg/L):, 0.13188, to get load of (kg/d):, 108.415 
missing data:, TP, on date:, 9,6,2001, filled with average monthly concentration (mg/L):, 0.12646, to get load of (kg/d):, 61.258 
missing data:, TP, on date:, 9,7,2001, filled with average monthly concentration (mg/L):, 0.12691, to get load of (kg/d):, 72.0367 
missing data:, TP, on date:, 9,8,2001, filled with average monthly concentration (mg/L):, 0.12517, to get load of (kg/d):, 59.1047 
missing data:, TP, on date:, 9,10,2001, filled with average monthly concentration (mg/L):, 0.13189, to get load of (kg/d):, 175.5352 
missing data:, TP, on date:, 9,11,2001, filled with average monthly concentration (mg/L):, 0.13236, to get load of (kg/d):, 231.2078 
missing data:, TP, on date:, 10,15,2001, filled with average monthly concentration (mg/L):, 0.47781, to get load of (kg/d):, 27120.6184 
missing data:, TP, on date:, 10,16,2001, filled with average monthly concentration (mg/L):, 0.51017, to get load of (kg/d):, 31204.1207 
missing data:, TP, on date:, 10,17,2001, filled with average monthly concentration (mg/L):, 0.6666, to get load of (kg/d):, 56754.8648 
missing data:, TP, on date:, 10,18,2001, filled with average monthly concentration (mg/L):, 0.65856, to get load of (kg/d):, 55103.7541 
missing data:, TP, on date:, 10,19,2001, filled with average monthly concentration (mg/L):, 0.53768, to get load of (kg/d):, 34860.064 
missing data:, TP, on date:, 10,20,2001, filled with average monthly concentration (mg/L):, 0.4186, to get load of (kg/d):, 18844.1605 
missing data:, TP, on date:, 11,23,2001, filled with average monthly concentration (mg/L):, 0.12313, to get load of (kg/d):, 282.8664 
missing data:, TP, on date:, 11,24,2001, filled with average monthly concentration (mg/L):, 0.12387, to get load of (kg/d):, 279.7235 
missing data:, TP, on date:, 11,25,2001, filled with average monthly concentration (mg/L):, 0.13149, to get load of (kg/d):, 427.8685 
missing data:, TP, on date:, 3,27,2002, filled with average monthly concentration (mg/L):, 0.14092, to get load of (kg/d):, 772.2788 
missing data:, TP, on date:, 3,28,2002, filled with average monthly concentration (mg/L):, 0.14609, to get load of (kg/d):, 972.2107 
missing data:, TP, on date:, 3,29,2002, filled with average monthly concentration (mg/L):, 0.14846, to get load of (kg/d):, 1227.6377 
missing data:, TP, on date:, 3,30,2002, filled with average monthly concentration (mg/L):, 0.41333, to get load of (kg/d):, 24573.0999 
missing data:, TP, on date:, 3,31,2002, filled with average monthly concentration (mg/L):, 0.72909, to get load of (kg/d):, 85799.3218 
missing data:, TP, on date:, 4,1,2002, filled with average monthly concentration (mg/L):, 0.74393, to get load of (kg/d):, 86271.816 
missing data:, TP, on date:, 5,17,2002, filled with average monthly concentration (mg/L):, 0.4805, to get load of (kg/d):, 27155.8373 
missing data:, TP, on date:, 5,18,2002, filled with average monthly concentration (mg/L):, 0.41087, to get load of (kg/d):, 19099.1335 
missing data:, TP, on date:, 5,19,2002, filled with average monthly concentration (mg/L):, 0.34761, to get load of (kg/d):, 13182.0868 
missing data:, TP, on date:, 5,26,2002, filled with average monthly concentration (mg/L):, 0.14048, to get load of (kg/d):, 1161.7051 
missing data:, TP, on date:, 5,31,2002, filled with average monthly concentration (mg/L):, 0.18011, to get load of (kg/d):, 2326.6539 
missing data:, TP, on date:, 6,1,2002, filled with average monthly concentration (mg/L):, 0.17537, to get load of (kg/d):, 2132.4198 
missing data:, TP, on date:, 6,2,2002, filled with average monthly concentration (mg/L):, 0.14934, to get load of (kg/d):, 964.5991 
missing data:, TP, on date:, 8,28,2002, filled with average monthly concentration (mg/L):, 0.1516, to get load of (kg/d):, 293.0197 
missing data:, TP, on date:, 8,30,2002, filled with average monthly concentration (mg/L):, 0.13247, to get load of (kg/d):, 129.9627 
missing data:, TP, on date:, 8,31,2002, filled with average monthly concentration (mg/L):, 0.12564, to get load of (kg/d):, 79.3075 
missing data:, TP, on date:, 9,1,2002, filled with average monthly concentration (mg/L):, 0.12188, to get load of (kg/d):, 56.9533 
missing data:, TP, on date:, 9,27,2002, filled with average monthly concentration (mg/L):, 0.11911, to get load of (kg/d):, 109.5747 
missing data:, TP, on date:, 9,28,2002, filled with average monthly concentration (mg/L):, 0.11986, to get load of (kg/d):, 135.4764 
missing data:, TP, on date:, 9,29,2002, filled with average monthly concentration (mg/L):, 0.12008, to get load of (kg/d):, 120.7492 
missing data:, TP, on date:, 10,16,2002, filled with average monthly concentration (mg/L):, 0.10594, to get load of (kg/d):, 52.3581 
missing data:, TP, on date:, 10,29,2002, filled with average monthly concentration (mg/L):, 0.074736, to get load of (kg/d):, 35.838 
missing data:, TP, on date:, 10,30,2002, filled with average monthly concentration (mg/L):, 0.067937, to get load of (kg/d):, 74.4628 
missing data:, TP, on date:, 4,11,2003, filled with average monthly concentration (mg/L):, 0.29903, to get load of (kg/d):, 10681.1636 
missing data:, TP, on date:, 5,16,2003, filled with average monthly concentration (mg/L):, 0.34876, to get load of (kg/d):, 17150.5515 
missing data:, TP, on date:, 5,17,2003, filled with average monthly concentration (mg/L):, 0.2824, to get load of (kg/d):, 9603.5805 
missing data:, TP, on date:, 6,3,2003, filled with average monthly concentration (mg/L):, 0.11513, to get load of (kg/d):, 447.8518 
missing data:, TP, on date:, 6,4,2003, filled with average monthly concentration (mg/L):, 0.11584, to get load of (kg/d):, 572.5099 
missing data:, TP, on date:, 6,5,2003, filled with average monthly concentration (mg/L):, 0.11249, to get load of (kg/d):, 470.6046 
missing data:, TP, on date:, 6,6,2003, filled with average monthly concentration (mg/L):, 0.11114, to get load of (kg/d):, 576.4449 
missing data:, TP, on date:, 6,7,2003, filled with average monthly concentration (mg/L):, 0.10499, to get load of (kg/d):, 516.2882 
missing data:, TP, on date:, 6,8,2003, filled with average monthly concentration (mg/L):, 0.1018, to get load of (kg/d):, 475.715 
missing data:, TP, on date:, 10,2,2003, filled with average monthly concentration (mg/L):, 0.25926, to get load of (kg/d):, 4776.3393 
missing data:, TP, on date:, 10,10,2003, filled with average monthly concentration (mg/L):, 0.20027, to get load of (kg/d):, 646.7821 
missing data:, TP, on date:, 10,11,2003, filled with average monthly concentration (mg/L):, 0.19688, to get load of (kg/d):, 515.3909 
missing data:, TP, on date:, 10,12,2003, filled with average monthly concentration (mg/L):, 0.19813, to get load of (kg/d):, 576.8421 
missing data:, TP, on date:, 10,13,2003, filled with average monthly concentration (mg/L):, 0.20262, to get load of (kg/d):, 579.9961 
missing data:, TP, on date:, 12,10,2003, filled with average monthly concentration (mg/L):, 0.23838, to get load of (kg/d):, 3511.0176 
missing data:, TP, on date:, 12,13,2003, filled with average monthly concentration (mg/L):, 0.36446, to get load of (kg/d):, 15871.9729 
missing data:, TP, on date:, 12,14,2003, filled with average monthly concentration (mg/L):, 0.31908, to get load of (kg/d):, 9524.0566 
missing data:, TP, on date:, 12,15,2003, filled with average monthly concentration (mg/L):, 0.26915, to get load of (kg/d):, 4339.4797 
missing data:, TP, on date:, 12,16,2003, filled with average monthly concentration (mg/L):, 0.25992, to get load of (kg/d):, 3618.2868 
missing data:, TP, on date:, 12,17,2003, filled with average monthly concentration (mg/L):, 0.24977, to get load of (kg/d):, 3159.3297 
missing data:, TP, on date:, 12,18,2003, filled with average monthly concentration (mg/L):, 0.2449, to get load of (kg/d):, 3049.7286 
missing data:, TP, on date:, 12,19,2003, filled with average monthly concentration (mg/L):, 0.24651, to get load of (kg/d):, 3184.3395 
missing data:, TP, on date:, 12,20,2003, filled with average monthly concentration (mg/L):, 0.23639, to get load of (kg/d):, 2683.5693 
missing data:, TP, on date:, 12,21,2003, filled with average monthly concentration (mg/L):, 0.22634, to get load of (kg/d):, 1921.5243 
missing data:, TP, on date:, 12,22,2003, filled with average monthly concentration (mg/L):, 0.22075, to get load of (kg/d):, 1523.0414 
missing data:, TP, on date:, 12,23,2003, filled with average monthly concentration (mg/L):, 0.2487, to get load of (kg/d):, 2798.9517 
missing data:, TP, on date:, 1,3,2004, filled with average monthly concentration (mg/L):, 0.30272, to get load of (kg/d):, 4680.7428 
missing data:, TP, on date:, 1,4,2004, filled with average monthly concentration (mg/L):, 0.31758, to get load of (kg/d):, 7342.459 
missing data:, TP, on date:, 1,6,2004, filled with average monthly concentration (mg/L):, 0.41609, to get load of (kg/d):, 30743.5259 
missing data:, TP, on date:, 1,7,2004, filled with average monthly concentration (mg/L):, 0.38708, to get load of (kg/d):, 25474.6407 
missing data:, TP, on date:, 1,8,2004, filled with average monthly concentration (mg/L):, 0.35476, to get load of (kg/d):, 17619.2527 
missing data:, TP, on date:, 1,9,2004, filled with average monthly concentration (mg/L):, 0.3307, to get load of (kg/d):, 12136.1798 
missing data:, TP, on date:, 1,10,2004, filled with average monthly concentration (mg/L):, 0.30294, to get load of (kg/d):, 7633.9948 
missing data:, TP, on date:, 1,29,2004, filled with average monthly concentration (mg/L):, 0.096, to get load of (kg/d):, 173.8053 
missing data:, TP, on date:, 1,30,2004, filled with average monthly concentration (mg/L):, 0.096185, to get load of (kg/d):, 169.4321 
missing data:, TP, on date:, 1,31,2004, filled with average monthly concentration (mg/L):, 0.097877, to get load of (kg/d):, 167.624 
missing data:, TP, on date:, 2,1,2004, filled with average monthly concentration (mg/L):, 0.099671, to get load of (kg/d):, 165.8192 
missing data:, TP, on date:, 2,2,2004, filled with average monthly concentration (mg/L):, 0.10087, to get load of (kg/d):, 162.8753 
missing data:, TP, on date:, 2,8,2004, filled with average monthly concentration (mg/L):, 0.10132, to get load of (kg/d):, 223.1082 
missing data:, TP, on date:, 4,8,2004, filled with average monthly concentration (mg/L):, 0.1004, to get load of (kg/d):, 508.4695 
missing data:, TP, on date:, 5,2,2004, filled with average monthly concentration (mg/L):, 0.12613, to get load of (kg/d):, 941.1812 
missing data:, TP, on date:, 5,3,2004, filled with average monthly concentration (mg/L):, 0.19617, to get load of (kg/d):, 2961.2717 
missing data:, TP, on date:, 5,4,2004, filled with average monthly concentration (mg/L):, 0.26545, to get load of (kg/d):, 5968.285 
missing data:, TP, on date:, 5,5,2004, filled with average monthly concentration (mg/L):, 0.27387, to get load of (kg/d):, 5681.9141 
missing data:, TP, on date:, 5,6,2004, filled with average monthly concentration (mg/L):, 0.21634, to get load of (kg/d):, 3011.6686 
missing data:, TP, on date:, 5,7,2004, filled with average monthly concentration (mg/L):, 0.168, to get load of (kg/d):, 1804.4453 
missing data:, TP, on date:, 5,8,2004, filled with average monthly concentration (mg/L):, 0.1943, to get load of (kg/d):, 2576.4823 
missing data:, TP, on date:, 5,9,2004, filled with average monthly concentration (mg/L):, 0.36658, to get load of (kg/d):, 10493.2543 
missing data:, TP, on date:, 5,10,2004, filled with average monthly concentration (mg/L):, 0.25283, to get load of (kg/d):, 4670.0929 
missing data:, TP, on date:, 5,11,2004, filled with average monthly concentration (mg/L):, 0.23296, to get load of (kg/d):, 3870.006 
missing data:, TP, on date:, 5,12,2004, filled with average monthly concentration (mg/L):, 0.20723, to get load of (kg/d):, 2879.774 
missing data:, TP, on date:, 5,13,2004, filled with average monthly concentration (mg/L):, 0.1972, to get load of (kg/d):, 2484.6341 
missing data:, TP, on date:, 5,14,2004, filled with average monthly concentration (mg/L):, 0.2433, to get load of (kg/d):, 4095.3533 
missing data:, TP, on date:, 5,15,2004, filled with average monthly concentration (mg/L):, 0.224, to get load of (kg/d):, 3195.0656 
missing data:, TP, on date:, 5,16,2004, filled with average monthly concentration (mg/L):, 0.2194, to get load of (kg/d):, 2785.8731 
missing data:, TP, on date:, 5,17,2004, filled with average monthly concentration (mg/L):, 0.20445, to get load of (kg/d):, 2215.8951 
missing data:, TP, on date:, 8,3,2004, filled with average monthly concentration (mg/L):, 0.21579, to get load of (kg/d):, 1399.0343 
missing data:, TP, on date:, 8,4,2004, filled with average monthly concentration (mg/L):, 0.21499, to get load of (kg/d):, 1530.6078 
missing data:, TP, on date:, 8,5,2004, filled with average monthly concentration (mg/L):, 0.21271, to get load of (kg/d):, 1222.9511 
missing data:, TP, on date:, 8,6,2004, filled with average monthly concentration (mg/L):, 0.23167, to get load of (kg/d):, 3060.7258 
missing data:, TP, on date:, 8,7,2004, filled with average monthly concentration (mg/L):, 0.23764, to get load of (kg/d):, 2534.8763 
missing data:, TP, on date:, 8,8,2004, filled with average monthly concentration (mg/L):, 0.20773, to get load of (kg/d):, 1113.0183 
missing data:, TP, on date:, 10,1,2004, filled with average monthly concentration (mg/L):, 0.15551, to get load of (kg/d):, 384.2831 
missing data:, TP, on date:, 12,3,2004, filled with average monthly concentration (mg/L):, 0.39674, to get load of (kg/d):, 14559.9454 
missing data:, TP, on date:, 12,4,2004, filled with average monthly concentration (mg/L):, 0.32014, to get load of (kg/d):, 8458.9756 
missing data:, TP, on date:, 12,5,2004, filled with average monthly concentration (mg/L):, 0.26073, to get load of (kg/d):, 4841.58 
missing data:, TP, on date:, 12,6,2004, filled with average monthly concentration (mg/L):, 0.23129, to get load of (kg/d):, 3457.5155 
missing data:, TP, on date:, 12,7,2004, filled with average monthly concentration (mg/L):, 0.24916, to get load of (kg/d):, 4315.865 
missing data:, TP, on date:, 12,8,2004, filled with average monthly concentration (mg/L):, 0.53688, to get load of (kg/d):, 29685.3339 
missing data:, TP, on date:, 12,9,2004, filled with average monthly concentration (mg/L):, 0.61142, to get load of (kg/d):, 39640.8751 
missing data:, TP, on date:, 12,10,2004, filled with average monthly concentration (mg/L):, 0.45885, to get load of (kg/d):, 20656.0087 
missing data:, TP, on date:, 12,11,2004, filled with average monthly concentration (mg/L):, 0.41176, to get load of (kg/d):, 16017.6835 
missing data:, TP, on date:, 12,12,2004, filled with average monthly concentration (mg/L):, 0.42306, to get load of (kg/d):, 17078.3469 
missing data:, TP, on date:, 12,13,2004, filled with average monthly concentration (mg/L):, 0.37032, to get load of (kg/d):, 12412.4564 
missing data:, TP, on date:, 12,14,2004, filled with average monthly concentration (mg/L):, 0.3157, to get load of (kg/d):, 8341.6802 
missing data:, TP, on date:, 12,15,2004, filled with average monthly concentration (mg/L):, 0.26786, to get load of (kg/d):, 5412.9992 
missing data:, TP, on date:, 12,16,2004, filled with average monthly concentration (mg/L):, 0.2445, to get load of (kg/d):, 4199.2501 
missing data:, TP, on date:, 12,17,2004, filled with average monthly concentration (mg/L):, 0.21606, to get load of (kg/d):, 2912.5768 
missing data:, TP, on date:, 12,18,2004, filled with average monthly concentration (mg/L):, 0.18215, to get load of (kg/d):, 1653.357 
missing data:, TP, on date:, 12,19,2004, filled with average monthly concentration (mg/L):, 0.15616, to get load of (kg/d):, 890.1862 
missing data:, TP, on date:, 12,20,2004, filled with average monthly concentration (mg/L):, 0.15898, to get load of (kg/d):, 964.6372 
missing data:, TP, on date:, 12,21,2004, filled with average monthly concentration (mg/L):, 0.14881, to get load of (kg/d):, 706.3186 
missing data:, TP, on date:, 12,22,2004, filled with average monthly concentration (mg/L):, 0.13199, to get load of (kg/d):, 419.7877 
missing data:, TP, on date:, 12,23,2004, filled with average monthly concentration (mg/L):, 0.1276, to get load of (kg/d):, 343.3891 
missing data:, TP, on date:, 12,30,2004, filled with average monthly concentration (mg/L):, 0.14108, to get load of (kg/d):, 807.6879 
missing data:, TP, on date:, 12,31,2004, filled with average monthly concentration (mg/L):, 0.16809, to get load of (kg/d):, 1714.8464 
missing data:, TP, on date:, 1,1,2005, filled with average monthly concentration (mg/L):, 0.36694, to get load of (kg/d):, 15620.6824 
missing data:, TP, on date:, 1,2,2005, filled with average monthly concentration (mg/L):, 0.43185, to get load of (kg/d):, 24829.2333 
missing data:, TP, on date:, 1,3,2005, filled with average monthly concentration (mg/L):, 0.44649, to get load of (kg/d):, 29384.5697 
missing data:, TP, on date:, 1,4,2005, filled with average monthly concentration (mg/L):, 0.4669, to get load of (kg/d):, 47177.6328 
missing data:, TP, on date:, 1,5,2005, filled with average monthly concentration (mg/L):, 0.51767, to get load of (kg/d):, 59779.4513 
missing data:, TP, on date:, 1,6,2005, filled with average monthly concentration (mg/L):, 0.51853, to get load of (kg/d):, 60005.6718 
missing data:, TP, on date:, 1,7,2005, filled with average monthly concentration (mg/L):, 0.47293, to get load of (kg/d):, 48596.1398 
missing data:, TP, on date:, 1,8,2005, filled with average monthly concentration (mg/L):, 0.4213, to get load of (kg/d):, 37106.9157 
missing data:, TP, on date:, 1,9,2005, filled with average monthly concentration (mg/L):, 0.3714, to get load of (kg/d):, 27441.3652 
missing data:, TP, on date:, 1,10,2005, filled with average monthly concentration (mg/L):, 0.30687, to get load of (kg/d):, 17042.6007 
missing data:, TP, on date:, 1,11,2005, filled with average monthly concentration (mg/L):, 0.27331, to get load of (kg/d):, 12571.1506 
missing data:, TP, on date:, 1,12,2005, filled with average monthly concentration (mg/L):, 0.42991, to get load of (kg/d):, 38916.5336 
missing data:, TP, on date:, 1,13,2005, filled with average monthly concentration (mg/L):, 0.73105, to get load of (kg/d):, 128776.8529 
missing data:, TP, on date:, 1,14,2005, filled with average monthly concentration (mg/L):, 0.87044, to get load of (kg/d):, 187829.5104 
missing data:, TP, on date:, 1,15,2005, filled with average monthly concentration (mg/L):, 0.81623, to get load of (kg/d):, 163551.6654 
missing data:, TP, on date:, 1,16,2005, filled with average monthly concentration (mg/L):, 0.79339, to get load of (kg/d):, 121706.3806 
missing data:, TP, on date:, 1,17,2005, filled with average monthly concentration (mg/L):, 0.66213, to get load of (kg/d):, 67227.5804 
missing data:, TP, on date:, 1,18,2005, filled with average monthly concentration (mg/L):, 0.74407, to get load of (kg/d):, 50061.4123 
missing data:, TP, on date:, 1,19,2005, filled with average monthly concentration (mg/L):, 0.34838, to get load of (kg/d):, 18325.3559 
missing data:, TP, on date:, 1,20,2005, filled with average monthly concentration (mg/L):, 0.22725, to get load of (kg/d):, 8840.2271 
missing data:, TP, on date:, 1,21,2005, filled with average monthly concentration (mg/L):, 0.18771, to get load of (kg/d):, 4776.246 
missing data:, TP, on date:, 1,22,2005, filled with average monthly concentration (mg/L):, 0.16164, to get load of (kg/d):, 2701.011 
missing data:, TP, on date:, 5,25,2005, filled with average monthly concentration (mg/L):, 0.1001, to get load of (kg/d):, 800.8062 
missing data:, TP, on date:, 5,26,2005, filled with average monthly concentration (mg/L):, 0.092163, to get load of (kg/d):, 847.8152 
missing data:, TP, on date:, 8,12,2005, filled with average monthly concentration (mg/L):, 0.12205, to get load of (kg/d):, 149.3004 
missing data:, TP, on date:, 9,9,2005, filled with average monthly concentration (mg/L):, 0.14629, to get load of (kg/d):, 128.8448 
missing data:, TP, on date:, 9,10,2005, filled with average monthly concentration (mg/L):, 0.14314, to get load of (kg/d):, 101.21 
missing data:, TP, on date:, 9,11,2005, filled with average monthly concentration (mg/L):, 0.13902, to get load of (kg/d):, 81.9672 
missing data:, TP, on date:, 10,1,2005, filled with average monthly concentration (mg/L):, 0.19302, to get load of (kg/d):, 2054.2538 
missing data:, TP, on date:, 10,2,2005, filled with average monthly concentration (mg/L):, 0.17554, to get load of (kg/d):, 1198.2032 
missing data:, TP, on date:, 10,11,2005, filled with average monthly concentration (mg/L):, 0.14025, to get load of (kg/d):, 138.2853 
missing data:, TP, on date:, 10,12,2005, filled with average monthly concentration (mg/L):, 0.13964, to get load of (kg/d):, 133.2365 
missing data:, TP, on date:, 10,13,2005, filled with average monthly concentration (mg/L):, 0.13601, to get load of (kg/d):, 95.5005 
missing data:, TP, on date:, 10,14,2005, filled with average monthly concentration (mg/L):, 0.13667, to get load of (kg/d):, 114.018 
missing data:, TP, on date:, 10,15,2005, filled with average monthly concentration (mg/L):, 0.13474, to get load of (kg/d):, 162.516 
missing data:, TP, on date:, 10,16,2005, filled with average monthly concentration (mg/L):, 0.13423, to get load of (kg/d):, 75.5308 
missing data:, TP, on date:, 10,20,2005, filled with average monthly concentration (mg/L):, 0.15317, to get load of (kg/d):, 73.4482 
missing data:, TP, on date:, 10,21,2005, filled with average monthly concentration (mg/L):, 0.15321, to get load of (kg/d):, 65.2216 
missing data:, TP, on date:, 10,23,2005, filled with average monthly concentration (mg/L):, 0.15419, to get load of (kg/d):, 70.9194 
missing data:, TP, on date:, 10,29,2005, filled with average monthly concentration (mg/L):, 0.14213, to get load of (kg/d):, 994.4855 
missing data:, TP, on date:, 11,4,2005, filled with average monthly concentration (mg/L):, 0.15685, to get load of (kg/d):, 322.354 
missing data:, TP, on date:, 11,5,2005, filled with average monthly concentration (mg/L):, 0.15665, to get load of (kg/d):, 249.8776 
missing data:, TP, on date:, 11,6,2005, filled with average monthly concentration (mg/L):, 0.15411, to get load of (kg/d):, 319.7292 
missing data:, TP, on date:, 12,20,2005, filled with average monthly concentration (mg/L):, 0.25696, to get load of (kg/d):, 389.7779 
missing data:, TP, on date:, 12,28,2005, filled with average monthly concentration (mg/L):, 0.45302, to get load of (kg/d):, 30811.7215 
missing data:, TP, on date:, 12,29,2005, filled with average monthly concentration (mg/L):, 0.59033, to get load of (kg/d):, 69469.5727 
missing data:, TP, on date:, 12,30,2005, filled with average monthly concentration (mg/L):, 0.63155, to get load of (kg/d):, 83127.7308 
missing data:, TP, on date:, 12,31,2005, filled with average monthly concentration (mg/L):, 0.60984, to get load of (kg/d):, 67438.7169 
missing data:, TP, on date:, 1,1,2006, filled with average monthly concentration (mg/L):, 0.51988, to get load of (kg/d):, 45789.5309 
missing data:, TP, on date:, 1,2,2006, filled with average monthly concentration (mg/L):, 0.44401, to get load of (kg/d):, 28787.003 
