missing data:, TN, on date:, 11,20,2000, filled with average monthly concentration (mg/L):, 3.3137, to get load of (kg/d):, 13052.441 
missing data:, TN, on date:, 11,21,2000, filled with average monthly concentration (mg/L):, 3.4242, to get load of (kg/d):, 10723.2956 
missing data:, TN, on date:, 11,22,2000, filled with average monthly concentration (mg/L):, 3.5477, to get load of (kg/d):, 8419.2633 
missing data:, TN, on date:, 11,23,2000, filled with average monthly concentration (mg/L):, 3.6392, to get load of (kg/d):, 6944.741 
missing data:, TN, on date:, 11,24,2000, filled with average monthly concentration (mg/L):, 3.7429, to get load of (kg/d):, 7206.7542 
missing data:, TN, on date:, 11,25,2000, filled with average monthly concentration (mg/L):, 3.8231, to get load of (kg/d):, 7108.5948 
missing data:, TN, on date:, 11,26,2000, filled with average monthly concentration (mg/L):, 3.9253, to get load of (kg/d):, 7644.4758 
missing data:, TN, on date:, 12,17,2000, filled with average monthly concentration (mg/L):, 7.9798, to get load of (kg/d):, 232325.793 
missing data:, TN, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 8.4591, to get load of (kg/d):, 362174.6674 
missing data:, TN, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 6.407, to get load of (kg/d):, 188102.9387 
missing data:, TN, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 6.7701, to get load of (kg/d):, 659232.0552 
missing data:, TN, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 7.0502, to get load of (kg/d):, 712378.7314 
missing data:, TN, on date:, 2,12,2001, filled with average monthly concentration (mg/L):, 7.3072, to get load of (kg/d):, 564932.9219 
missing data:, TN, on date:, 2,13,2001, filled with average monthly concentration (mg/L):, 7.6047, to get load of (kg/d):, 442806.9097 
missing data:, TN, on date:, 2,14,2001, filled with average monthly concentration (mg/L):, 7.8263, to get load of (kg/d):, 352314.764 
missing data:, TN, on date:, 2,15,2001, filled with average monthly concentration (mg/L):, 8.0521, to get load of (kg/d):, 459011.1829 
missing data:, TN, on date:, 2,16,2001, filled with average monthly concentration (mg/L):, 8.2331, to get load of (kg/d):, 537811.3089 
missing data:, TN, on date:, 2,17,2001, filled with average monthly concentration (mg/L):, 8.5254, to get load of (kg/d):, 477648.7794 
missing data:, TN, on date:, 2,18,2001, filled with average monthly concentration (mg/L):, 8.6589, to get load of (kg/d):, 353782.8505 
missing data:, TN, on date:, 4,7,2001, filled with average monthly concentration (mg/L):, 7.1465, to get load of (kg/d):, 447602.804 
missing data:, TN, on date:, 4,8,2001, filled with average monthly concentration (mg/L):, 7.3601, to get load of (kg/d):, 399758.0893 
missing data:, TN, on date:, 7,1,2001, filled with average monthly concentration (mg/L):, 5.5076, to get load of (kg/d):, 15495.9479 
missing data:, TN, on date:, 7,2,2001, filled with average monthly concentration (mg/L):, 5.1383, to get load of (kg/d):, 12206.5581 
missing data:, TN, on date:, 7,3,2001, filled with average monthly concentration (mg/L):, 4.7744, to get load of (kg/d):, 11307.2403 
missing data:, TN, on date:, 7,4,2001, filled with average monthly concentration (mg/L):, 4.36, to get load of (kg/d):, 10165.747 
missing data:, TN, on date:, 7,5,2001, filled with average monthly concentration (mg/L):, 3.9102, to get load of (kg/d):, 7978.6126 
missing data:, TN, on date:, 7,6,2001, filled with average monthly concentration (mg/L):, 3.5229, to get load of (kg/d):, 7248.581 
missing data:, TN, on date:, 7,7,2001, filled with average monthly concentration (mg/L):, 3.1901, to get load of (kg/d):, 6852.6213 
missing data:, TN, on date:, 7,8,2001, filled with average monthly concentration (mg/L):, 2.9132, to get load of (kg/d):, 6478.7965 
missing data:, TN, on date:, 7,23,2001, filled with average monthly concentration (mg/L):, 1.5469, to get load of (kg/d):, 1956.6263 
missing data:, TN, on date:, 8,7,2001, filled with average monthly concentration (mg/L):, 1.5547, to get load of (kg/d):, 1650.7779 
missing data:, TN, on date:, 8,9,2001, filled with average monthly concentration (mg/L):, 1.5035, to get load of (kg/d):, 996.8784 
missing data:, TN, on date:, 8,11,2001, filled with average monthly concentration (mg/L):, 1.4089, to get load of (kg/d):, 734.2264 
missing data:, TN, on date:, 9,4,2001, filled with average monthly concentration (mg/L):, 1.7078, to get load of (kg/d):, 1746.5395 
missing data:, TN, on date:, 9,5,2001, filled with average monthly concentration (mg/L):, 1.6493, to get load of (kg/d):, 1355.7737 
missing data:, TN, on date:, 9,6,2001, filled with average monthly concentration (mg/L):, 1.6193, to get load of (kg/d):, 784.4151 
missing data:, TN, on date:, 9,7,2001, filled with average monthly concentration (mg/L):, 1.5737, to get load of (kg/d):, 893.2412 
missing data:, TN, on date:, 9,8,2001, filled with average monthly concentration (mg/L):, 1.5141, to get load of (kg/d):, 714.9513 
missing data:, TN, on date:, 9,10,2001, filled with average monthly concentration (mg/L):, 1.4102, to get load of (kg/d):, 1876.8755 
missing data:, TN, on date:, 9,11,2001, filled with average monthly concentration (mg/L):, 1.3791, to get load of (kg/d):, 2409.0196 
missing data:, TN, on date:, 10,15,2001, filled with average monthly concentration (mg/L):, 6.0588, to get load of (kg/d):, 343900.4598 
missing data:, TN, on date:, 10,16,2001, filled with average monthly concentration (mg/L):, 6.474, to get load of (kg/d):, 395977.8044 
missing data:, TN, on date:, 10,17,2001, filled with average monthly concentration (mg/L):, 6.6984, to get load of (kg/d):, 570302.1335 
missing data:, TN, on date:, 10,18,2001, filled with average monthly concentration (mg/L):, 7.0097, to get load of (kg/d):, 586524.1944 
missing data:, TN, on date:, 10,19,2001, filled with average monthly concentration (mg/L):, 7.352, to get load of (kg/d):, 476660.8522 
missing data:, TN, on date:, 10,20,2001, filled with average monthly concentration (mg/L):, 7.6516, to get load of (kg/d):, 344450.5339 
missing data:, TN, on date:, 11,1,2001, filled with average monthly concentration (mg/L):, 6.1634, to get load of (kg/d):, 74189.4379 
missing data:, TN, on date:, 11,2,2001, filled with average monthly concentration (mg/L):, 5.8673, to get load of (kg/d):, 47944.67 
missing data:, TN, on date:, 11,23,2001, filled with average monthly concentration (mg/L):, 3.8493, to get load of (kg/d):, 8843.2068 
missing data:, TN, on date:, 11,24,2001, filled with average monthly concentration (mg/L):, 4.1436, to get load of (kg/d):, 9357.0401 
missing data:, TN, on date:, 11,25,2001, filled with average monthly concentration (mg/L):, 4.4803, to get load of (kg/d):, 14578.7472 
missing data:, TN, on date:, 3,27,2002, filled with average monthly concentration (mg/L):, 5.7943, to get load of (kg/d):, 31754.7472 
missing data:, TN, on date:, 3,28,2002, filled with average monthly concentration (mg/L):, 5.9662, to get load of (kg/d):, 39703.1858 
missing data:, TN, on date:, 3,29,2002, filled with average monthly concentration (mg/L):, 6.1308, to get load of (kg/d):, 50697.7236 
missing data:, TN, on date:, 3,30,2002, filled with average monthly concentration (mg/L):, 6.2923, to get load of (kg/d):, 374087.7569 
missing data:, TN, on date:, 3,31,2002, filled with average monthly concentration (mg/L):, 6.428, to get load of (kg/d):, 756442.7159 
missing data:, TN, on date:, 4,1,2002, filled with average monthly concentration (mg/L):, 6.6415, to get load of (kg/d):, 770202.5306 
missing data:, TN, on date:, 5,17,2002, filled with average monthly concentration (mg/L):, 7.0794, to get load of (kg/d):, 400097.4985 
missing data:, TN, on date:, 5,18,2002, filled with average monthly concentration (mg/L):, 7.0377, to get load of (kg/d):, 327146.104 
missing data:, TN, on date:, 5,19,2002, filled with average monthly concentration (mg/L):, 7.0036, to get load of (kg/d):, 265589.5918 
missing data:, TN, on date:, 5,26,2002, filled with average monthly concentration (mg/L):, 5.618, to get load of (kg/d):, 46457.4449 
missing data:, TN, on date:, 5,31,2002, filled with average monthly concentration (mg/L):, 5.4102, to get load of (kg/d):, 69888.8619 
missing data:, TN, on date:, 6,1,2002, filled with average monthly concentration (mg/L):, 5.5723, to get load of (kg/d):, 67756.3439 
missing data:, TN, on date:, 6,2,2002, filled with average monthly concentration (mg/L):, 5.6927, to get load of (kg/d):, 36768.8256 
missing data:, TN, on date:, 7,21,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 1546.7908 
missing data:, TN, on date:, 7,22,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 1857.1501 
missing data:, TN, on date:, 7,23,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 2182.5268 
missing data:, TN, on date:, 7,24,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 1882.1791 
missing data:, TN, on date:, 7,25,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 1822.1095 
missing data:, TN, on date:, 7,26,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 2913.3729 
missing data:, TN, on date:, 7,27,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 3143.6395 
missing data:, TN, on date:, 7,28,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 2838.286 
missing data:, TN, on date:, 7,29,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 3644.2191 
missing data:, TN, on date:, 7,31,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 7558.7511 
missing data:, TN, on date:, 8,1,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 8059.3306 
missing data:, TN, on date:, 8,2,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 4980.7664 
missing data:, TN, on date:, 8,3,2002, filled with average monthly concentration (mg/L):, 2.046, to get load of (kg/d):, 3689.2712 
missing data:, TN, on date:, 8,4,2002, filled with average monthly concentration (mg/L):, 1.9666, to get load of (kg/d):, 2867.5452 
missing data:, TN, on date:, 8,5,2002, filled with average monthly concentration (mg/L):, 1.9244, to get load of (kg/d):, 2151.6225 
missing data:, TN, on date:, 8,6,2002, filled with average monthly concentration (mg/L):, 1.881, to get load of (kg/d):, 1799.4159 
missing data:, TN, on date:, 8,7,2002, filled with average monthly concentration (mg/L):, 1.881, to get load of (kg/d):, 2291.8392 
missing data:, TN, on date:, 8,8,2002, filled with average monthly concentration (mg/L):, 1.881, to get load of (kg/d):, 2706.027 
missing data:, TN, on date:, 8,9,2002, filled with average monthly concentration (mg/L):, 1.881, to get load of (kg/d):, 2282.635 
missing data:, TN, on date:, 8,10,2002, filled with average monthly concentration (mg/L):, 1.881, to get load of (kg/d):, 1753.395 
missing data:, TN, on date:, 8,11,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1316.9096 
missing data:, TN, on date:, 8,12,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1090.9053 
missing data:, TN, on date:, 8,13,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 990.9419 
missing data:, TN, on date:, 8,14,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1282.1398 
missing data:, TN, on date:, 8,15,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1190.8688 
missing data:, TN, on date:, 8,16,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1147.4064 
missing data:, TN, on date:, 8,17,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1173.4838 
missing data:, TN, on date:, 8,18,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1577.6838 
missing data:, TN, on date:, 8,19,2002, filled with average monthly concentration (mg/L):, 1.7765, to get load of (kg/d):, 1794.9957 
missing data:, TN, on date:, 8,20,2002, filled with average monthly concentration (mg/L):, 1.6379, to get load of (kg/d):, 1614.9077 
missing data:, TN, on date:, 8,21,2002, filled with average monthly concentration (mg/L):, 1.6379, to get load of (kg/d):, 1246.2439 
missing data:, TN, on date:, 8,22,2002, filled with average monthly concentration (mg/L):, 1.6379, to get load of (kg/d):, 2031.658 
missing data:, TN, on date:, 8,23,2002, filled with average monthly concentration (mg/L):, 1.6379, to get load of (kg/d):, 2845.1227 
missing data:, TN, on date:, 8,24,2002, filled with average monthly concentration (mg/L):, 1.6379, to get load of (kg/d):, 5209.3795 
missing data:, TN, on date:, 8,28,2002, filled with average monthly concentration (mg/L):, 1.5011, to get load of (kg/d):, 2901.41 
missing data:, TN, on date:, 8,29,2002, filled with average monthly concentration (mg/L):, 1.454, to get load of (kg/d):, 1920.9237 
missing data:, TN, on date:, 8,30,2002, filled with average monthly concentration (mg/L):, 1.454, to get load of (kg/d):, 1426.4637 
missing data:, TN, on date:, 8,31,2002, filled with average monthly concentration (mg/L):, 1.4505, to get load of (kg/d):, 915.5528 
missing data:, TN, on date:, 9,1,2002, filled with average monthly concentration (mg/L):, 1.4505, to get load of (kg/d):, 677.7929 
missing data:, TN, on date:, 9,2,2002, filled with average monthly concentration (mg/L):, 1.4505, to get load of (kg/d):, 787.8012 
