Year,Month,Day,NO3(mg/L)
1975,5,30,9.3000
1975,5,30,9.1500
1975,5,30,9.0500
1975,5,30,9.0000
1975,5,31,8.9000
1975,5,31,8.7500
1975,5,31,8.6000
1975,5,31,8.5000
1975,6,1,8.4500
1975,6,1,8.3000
1975,6,1,8.2000
1975,6,1,7.8500
1975,6,2,7.5700
1975,6,2,7.3000
1975,6,2,-999.0000
1975,6,2,-999.0000
1975,6,3,-999.0000
1975,6,3,-999.0000
1975,6,3,-999.0000
1975,6,3,-999.0000
1975,6,4,-999.0000
1975,6,4,-999.0000
1975,6,4,-999.0000
1975,6,4,-999.0000
1975,6,5,-999.0000
1975,6,5,-999.0000
1975,6,5,-999.0000
1975,6,5,-999.0000
1975,6,6,-999.0000
1975,6,6,9.7000
1975,6,6,10.3000
1975,6,7,9.8000
1975,6,7,9.8000
1975,6,7,9.6700
1975,6,7,9.6700
1975,6,8,9.4800
1975,6,8,9.4800
1975,6,8,9.6700
1975,6,8,9.7500
1975,6,9,9.8500
1975,6,9,9.6800
1975,6,9,10.3000
1975,6,9,8.5000
1975,6,9,8.5000
1975,6,10,8.3500
1975,6,10,9.7000
1975,6,10,9.6000
1975,6,10,9.6000
1975,6,11,9.6000
1975,6,11,9.5000
1975,6,11,9.4700
1975,6,11,9.1700
1975,6,12,9.0000
1975,6,12,8.8000
1975,6,12,8.8000
1975,6,12,8.6500
1975,6,13,8.6700
1975,6,13,8.6500
1975,6,13,8.6000
1975,6,13,8.2000
1975,6,14,8.0000
1975,6,14,6.8800
1975,6,14,6.6000
1975,6,14,6.2500
1975,6,15,6.1000
1975,6,15,5.9500
1975,6,15,6.0000
1975,6,15,6.3000
1975,6,16,6.7500
1975,6,16,9.5300
1975,6,17,8.4300
1975,6,18,8.9800
1975,6,19,9.3700
1975,6,20,9.3200
1975,6,21,8.9800
1975,6,22,9.3200
1975,6,23,8.8400
1975,6,24,8.5700
1975,6,25,8.3700
1975,6,26,7.9500
1975,6,27,6.4600
1975,6,28,5.5500
1975,6,29,5.3100
1975,6,30,4.7800
1975,7,1,4.7300
1975,7,1,5.0000
1975,7,2,4.8800
1975,7,3,4.9000
1975,7,4,5.0100
1975,7,5,5.2100
1975,7,6,5.0300
1975,7,7,4.5300
1975,7,8,4.9200
1975,7,8,-999.0000
1975,7,9,-999.0000
1975,7,10,-999.0000
1975,7,11,-999.0000
1975,7,12,-999.0000
1975,7,13,-999.0000
1975,7,14,-999.0000
1975,7,15,-999.0000
1975,7,15,4.1100
1975,7,16,4.0800
1975,7,16,4.2800
1975,7,17,4.2500
1975,7,17,3.8500
1975,7,18,3.4600
1975,7,18,3.2500
1975,7,19,2.8500
1975,7,19,2.3000
1975,7,20,2.5000
1975,7,20,2.6800
1975,7,21,2.8200
1975,7,21,2.5700
1975,7,22,2.5100
1975,7,22,2.2700
1975,7,22,0.7600
1975,7,23,2.6800
1975,7,24,2.8400
1975,7,25,2.6400
1975,7,26,2.5200
1975,7,27,2.2400
1975,7,28,2.0200
1975,7,29,1.9000
1975,7,29,2.1800
1975,7,30,1.8600
1975,7,31,1.7700
1975,8,1,1.6200
1975,8,2,1.5200
1975,8,3,1.4800
1975,8,4,1.5600
1975,8,5,1.7300
1975,8,5,2.4800
1975,8,6,1.8000
1975,8,7,1.5300
1975,8,8,1.4900
1975,8,9,1.3600
1975,8,10,1.1300
1975,8,11,0.8600
1975,8,12,0.8500
1975,9,2,1.9400
1975,9,3,2.1500
1975,9,4,2.1900
1975,9,5,2.1000
1975,9,6,1.9500
1975,9,6,1.9600
1975,9,6,2.2300
1975,9,7,2.2100
1975,9,7,2.1800
1975,9,7,2.0700
1975,9,7,2.0400
1975,9,8,2.0600
1975,9,8,2.0300
1975,9,8,1.9400
1975,9,8,1.9100
1975,9,9,1.6200
1975,9,9,1.8800
1975,9,9,1.9400
1975,9,9,1.9100
1975,9,10,1.8400
1975,9,10,1.8400
1975,9,10,1.8200
1975,9,10,1.8300
1975,9,11,1.8300
1975,9,11,1.8900
1975,9,11,2.0000
1975,9,11,2.0400
1975,9,12,2.0900
1975,9,12,2.1500
1975,9,12,2.1600
1975,9,12,2.0900
1975,9,13,2.0800
1975,9,15,1.8100
1975,9,16,1.9600
1975,9,17,2.1200
1975,9,18,2.1100
1975,9,19,2.0100
1975,9,20,1.8900
1975,9,21,1.9500
1975,9,22,2.1100
1975,9,22,2.1300
1975,9,23,2.1300
1975,9,24,2.0600
1975,9,25,2.1100
1975,9,26,2.1300
1975,9,27,2.0400
1975,9,28,2.0400
1975,9,29,1.9900
1975,9,29,1.4300
1975,9,30,1.9600
1975,10,1,1.9100
1975,10,2,1.9000
1975,10,3,1.8800
1975,10,4,1.8400
1975,10,5,1.7300
1975,10,6,1.7400
1975,10,6,1.7100
1975,10,7,1.7600
1975,10,8,1.5800
1975,10,9,1.4800
1975,10,10,1.6700
1975,10,11,1.5900
1975,10,12,1.3100
1975,10,13,1.2500
1975,10,13,1.1900
1975,10,13,0.9300
1975,10,13,0.9600
1975,10,14,0.9400
1975,10,14,1.1100
1975,10,14,0.6900
1975,10,14,0.7600
1975,10,15,0.6800
1975,10,15,0.6900
1975,10,15,0.5700
1975,10,15,0.7100
1975,10,16,0.5800
1975,10,16,0.5300
1975,10,16,0.4800
1975,10,16,0.4500
1975,10,17,0.3800
1975,10,17,0.3500
1975,10,17,0.3200
1975,10,17,0.3600
1975,10,18,0.3000
1975,10,18,0.3300
1975,10,18,0.4500
1975,10,18,0.6300
1975,10,19,0.7300
1975,10,19,1.6200
1975,10,19,2.3600
1975,10,19,2.8000
1975,10,20,3.2800
1975,10,20,4.2800
1975,10,21,3.0000
