year,month,day,nitrate(kg)
2000,8,20,266.68
2000,8,21,0.00
2000,8,22,0.00
2000,8,23,0.00
2000,8,24,0.00
2000,8,25,0.00
2000,8,26,0.00
2000,8,27,0.00
2000,8,28,0.00
2000,8,29,0.00
2000,8,30,0.00
2000,8,31,0.00
2000,9,1,0.00
2000,9,2,0.00
2000,9,3,0.00
2000,9,4,626.42
2000,9,5,0.00
2000,9,6,0.00
2000,9,7,0.00
2000,9,8,0.00
2000,9,9,0.00
2000,9,10,0.00
2000,9,11,0.00
2000,9,12,3225.07
2000,9,13,13861.78
2000,9,14,20342.75
2000,9,15,16473.26
2000,9,16,18291.30
2000,9,17,14385.84
2000,9,18,8555.17
2000,9,19,7583.39
2000,9,20,6822.51
2000,9,21,5860.52
2000,9,22,4513.83
2000,9,23,6273.25
2000,9,24,19598.51
2000,9,25,32573.90
2000,9,26,32375.48
2000,9,27,24492.63
2000,9,28,11881.53
2000,9,29,8282.13
2000,9,30,8365.07
2000,10,1,8012.52
2000,10,2,5413.28
2000,10,3,3582.96
2000,10,4,3481.23
2000,10,5,4860.11
2000,10,6,63581.44
2000,10,7,72689.27
2000,10,8,67521.52
2000,10,9,66452.31
2000,10,10,44609.81
2000,10,11,29858.45
2000,10,12,18192.71
2000,10,13,15106.11
2000,10,14,15472.12
2000,10,15,11516.26
2000,10,16,9852.47
2000,10,17,9796.68
2000,10,18,12800.46
2000,10,19,11266.76
2000,10,20,8399.94
2000,10,21,7716.61
2000,10,22,6663.87
2000,10,23,7731.90
2000,10,24,9049.87
2000,10,25,8935.78
2000,10,26,7241.22
2000,10,27,6377.23
2000,10,28,4764.01
2000,10,29,4837.07
2000,10,30,4418.32
2000,10,31,4227.68
2000,11,1,4723.16
2000,11,2,6829.12
2000,11,3,8174.00
2000,11,4,4993.55
2000,11,5,2679.00
2000,11,6,2180.70
2000,11,7,2637.99
2000,11,8,2485.52
2000,11,9,3463.61
2000,11,10,4920.30
2000,11,11,4184.00
2000,11,12,6731.01
2000,11,13,15044.21
2000,11,14,12706.88
2000,11,15,8674.81
2000,11,16,11308.54
2000,11,17,11472.71
2000,11,18,8401.53
2000,11,19,6917.44
2000,11,20,9414.16
2000,11,21,7641.13
2000,11,22,7143.25
2000,11,23,5266.98
2000,11,24,6007.41
2000,11,25,5726.93
2000,11,26,6056.63
2000,11,27,6345.62
2000,11,28,6411.78
2000,11,29,8791.51
2000,11,30,9173.66
2000,12,1,7419.72
2000,12,2,7294.99
2000,12,3,7491.94
2000,12,4,7435.62
2000,12,5,8800.32
2000,12,6,5089.11
2000,12,7,5156.69
2000,12,8,6270.66
2000,12,9,6058.49
2000,12,10,7092.90
2000,12,11,10096.14
2000,12,12,69503.67
2000,12,13,117552.87
2000,12,14,106549.17
2000,12,15,73819.18
2000,12,16,88273.28
2000,12,17,230002.19
2000,12,18,317002.27
2000,12,19,288059.33
2000,12,20,198906.26
2000,12,21,150948.57
2000,12,22,101014.04
2000,12,23,73910.93
2000,12,24,58937.91
2000,12,25,48870.27
2000,12,26,42849.25
2000,12,27,38071.10
2000,12,28,33023.82
2000,12,29,29280.57
2000,12,30,25909.19
2000,12,31,25860.26
2001,1,1,24771.54
2001,1,2,23249.77
2001,1,3,21842.99
2001,1,4,19244.73
2001,1,5,17439.16
2001,1,6,15824.42
2001,1,7,14146.08
2001,1,8,14015.18
2001,1,9,13482.57
2001,1,10,12508.83
2001,1,11,12186.37
2001,1,12,12187.60
2001,1,13,11442.13
2001,1,14,10568.45
2001,1,15,9477.77
2001,1,16,9120.82
2001,1,17,10194.86
2001,1,18,13079.37
2001,1,19,16577.97
2001,1,20,20296.76
2001,1,21,22802.05
2001,1,22,20483.92
2001,1,23,19193.35
2001,1,24,16761.46
2001,1,25,15354.68
2001,1,26,14021.30
2001,1,27,12893.43
2001,1,28,11636.87
2001,1,29,12425.40
2001,1,30,19756.07
2001,1,31,52956.04
2001,2,1,205438.61
2001,2,2,194649.23
2001,2,3,150023.77
2001,2,4,103710.17
2001,2,5,90254.02
2001,2,6,81177.24
2001,2,7,69590.28
2001,2,8,66791.40
2001,2,9,148130.12
2001,2,10,525281.60
2001,2,11,577715.66
2001,2,12,466112.00
2001,2,13,368585.79
