year,month,day,flow (cms),,,,,
2000,7,6,266.461088,,,,,
2000,7,7,189.439392,,,,,
2000,7,8,145.548352,,,,,
2000,7,9,114.966208,,,,,
2000,7,10,87.78208,,,,,
2000,7,11,65.12864,,,,,
2000,7,12,50.97024,,,,,
2000,7,13,46.72272,,,,,
2000,7,14,35.962336,,,,,
2000,7,15,34.829664,,,,,
2000,7,16,33.130656,,,,,
2000,7,17,30.582144,,,,,
2000,7,18,25.1170016,,,,,
2000,7,19,26.7310592,,,,,
2000,7,20,32.56432,,,,,
2000,7,21,25.3152192,,,,,
2000,7,22,19.3403744,,,,,
2000,7,23,17.9245344,,,,,
2000,7,24,19.4819584,,,,,
2000,7,25,19.3403744,,,,,
2000,7,26,18.40592,,,,,
2000,7,27,18.40592,,,,,
2000,7,28,16.3954272,,,,,
2000,7,29,19.3120576,,,,,
2000,7,30,41.342528,,,,,
2000,7,31,69.942496,,,,,
2000,8,1,54.934592,,,,,
2000,8,2,67.96032,,,,,
2000,8,3,57.766272,,,,,
2000,8,4,85.233568,,,,,
2000,8,5,61.730624,,,,,
2000,8,6,56.350432,,,,,
2000,8,7,103.639488,,,,,
2000,8,8,122.328576,,,,,
2000,8,9,126.576096,,,,,
2000,8,10,99.675136,,,,,
2000,8,11,65.12864,,,,,
2000,8,12,37.944512,,,,,
2000,8,13,37.378176,,,,,
2000,8,14,25.343536,,,,,
2000,8,15,23.2764096,,,,,
2000,8,16,19.1421568,,,,,
2000,8,17,14.4698848,,,,,
2000,8,18,14.3849344,,,,,
2000,8,19,12.0912736,,,,,
2000,8,20,12.3461248,,,,,
2000,8,21,17.131664,,,,,
2000,8,22,15.4609728,,,,,
2000,8,23,19.5952256,,,,,
2000,8,24,13.0823616,,,,,
2000,8,25,21.9738368,,,,,
2000,8,26,21.2376,,,,,
2000,8,27,22.65344,,,,,
2000,8,28,44.740544,,,,,
2000,8,29,70.225664,,,,,
2000,8,30,80.136544,,,,,
2000,8,31,53.518752,,,,,
2000,9,1,41.908864,,,,,
2000,9,2,29.73264,,,,,
2000,9,3,23.7577952,,,,,
2000,9,4,19.5952256,,,,,
2000,9,5,16.4803776,,,,,
2000,9,6,14.9795872,,,,,
2000,9,7,15.7724576,,,,,
2000,9,8,14.7813696,,,,,
2000,9,9,13.3655296,,,,,
2000,9,10,20.0199776,,,,,
2000,9,11,63.7128,,,,,
2000,9,12,95.710784,,,,,
2000,9,13,120.629568,,,,,
2000,9,14,139.318656,,,,,
2000,9,15,153.760224,,,,,
2000,9,16,99.391968,,,,,
2000,9,17,79.28704,,,,,
2000,9,18,52.669248,,,,,
2000,9,19,53.518752,,,,,
2000,9,20,41.342528,,,,,
2000,9,21,33.413824,,,,,
2000,9,22,25.1170016,,,,,
2000,9,23,31.431648,,,,,
2000,9,24,95.710784,,,,,
2000,9,25,119.496896,,,,,
2000,9,26,113.550368,,,,,
2000,9,27,100.52464,,,,,
2000,9,28,60.314784,,,,,
2000,9,29,44.174208,,,,,
2000,9,30,37.095008,,,,,
2000,10,1,35.396,,,,,
2000,10,2,26.051456,,,,,
2000,10,3,19.1987904,,,,,
2000,10,4,21.662352,,,,,
2000,10,5,41.05936,,,,,
2000,10,6,239.27696,,,,,
2000,10,7,257.399712,,,,,
2000,10,8,225.11856,,,,,
2000,10,9,172.449312,,,,,
2000,10,10,115.249376,,,,,
2000,10,11,78.720704,,,,,
2000,10,12,47.855392,,,,,
2000,10,13,38.510848,,,,,
2000,10,14,38.510848,,,,,
2000,10,15,29.166304,,,,,
2000,10,16,24.210864,,,,,
2000,10,17,23.8710624,,,,,
2000,10,18,30.865312,,,,,
2000,10,19,26.5045248,,,,,
2000,10,20,19.963344,,,,,
2000,10,21,18.264336,,,,,
2000,10,22,16.4803776,,,,,
2000,10,23,20.246512,,,,,
2000,10,24,25.48512,,,,,
2000,10,25,25.2869024,,,,,
2000,10,26,22.1720544,,,,,
2000,10,27,20.2748288,,,,,
2000,10,28,16.5086944,,,,,
2000,10,29,18.2360192,,,,,
2000,10,30,16.9051296,,,,,
2000,10,31,16.3104768,,,,,
2000,11,1,18.9156224,,,,,
2000,11,2,29.166304,,,,,
2000,11,3,36.81184,,,,,
2000,11,4,23.3047264,,,,,
2000,11,5,14.1584,,,,,
2000,11,6,12.4027584,,,,,
2000,11,7,16.5936448,,,,,
2000,11,8,17.3298816,,,,,
2000,11,9,24.2958144,,,,,
2000,11,10,33.696992,,,,,
2000,11,11,24.8338336,,,,,
2000,11,12,43.041536,,,,,
2000,11,13,87.498912,,,,,
2000,11,14,78.437536,,,,,
2000,11,15,63.146464,,,,,
2000,11,16,68.526656,,,,,
2000,11,17,65.411808,,,,,
2000,11,18,48.13856,,,,,
2000,11,19,37.944512,,,,,
2000,11,20,45.590048,,,,,
2000,11,21,36.245504,,,,,
2000,11,22,27.467296,,,,,
2000,11,23,22.087104,,,,,
2000,11,24,22.2853216,,,,,
2000,11,25,21.520768,,,,,
2000,11,26,22.5401728,,,,,
2000,11,27,22.8799744,,,,,
2000,11,28,22.6251232,,,,,
2000,11,29,30.015808,,,,,
2000,11,30,30.865312,,,,,
2000,12,1,26.0231392,,,,,
2000,12,2,26.2213568,,,,,
2000,12,3,27.3540288,,,,,
2000,12,4,26.2779904,,,,,
2000,12,5,31.14848,,,,,
2000,12,6,17.273248,,,,,
2000,12,7,18.8873056,,,,,
2000,12,8,21.8605696,,,,,
2000,12,9,20.8694816,,,,,
2000,12,10,24.5789824,,,,,
2000,12,11,34.829664,,,,,
2000,12,12,115.249376,,,,,
2000,12,13,158.57408,,,,,
2000,12,14,194.819584,,,,,
2000,12,15,191.1384,,,,,
2000,12,16,159.140416,,,,,
2000,12,17,336.96992,,,,,
2000,12,18,495.544,,,,,
2000,12,19,396.4352,,,,,
2000,12,20,283.168,,,,,
2000,12,21,220.87104,,,,,
2000,12,22,147.24736,,,,,
2000,12,23,107.60384,,,,,
2000,12,24,84.9504,,,,,
2000,12,25,70.792,,,,,
2000,12,26,59.46528,,,,,
2000,12,27,53.80192,,,,,
2000,12,28,48.13856,,,,,
2000,12,29,45.30688,,,,,
2000,12,30,42.4752,,,,,
2000,12,31,39.64352,,,,,
2001,1,1,38.22768,,,,,
2001,1,2,36.81184,,,,,
2001,1,3,33.98016,,,,,
2001,1,4,32.56432,,,,,
2001,1,5,31.14848,,,,,
2001,1,6,29.73264,,,,,
2001,1,7,27.750464,,,,,
2001,1,8,26.90096,,,,,
2001,1,9,26.051456,,,,,
2001,1,10,24.918784,,,,,
2001,1,11,24.06928,,,,,
2001,1,12,22.936608,,,,,
2001,1,13,22.370272,,,,,
2001,1,14,21.803936,,,,,
2001,1,15,20.954432,,,,,
2001,1,16,22.65344,,,,,
2001,1,17,25.48512,,,,,
2001,1,18,31.14848,,,,,
2001,1,19,39.64352,,,,,
2001,1,20,48.13856,,,,,
2001,1,21,56.6336,,,,,
2001,1,22,48.13856,,,,,
2001,1,23,42.4752,,,,,
2001,1,24,36.81184,,,,,
2001,1,25,33.98016,,,,,
2001,1,26,31.14848,,,,,
2001,1,27,28.3168,,,,,
2001,1,28,26.051456,,,,,
2001,1,29,28.033632,,,,,
2001,1,30,48.13856,,,,,
2001,1,31,127.4256,,,,,
2001,2,1,509.7024,,,,,
2001,2,2,481.3856,,,,,
2001,2,3,339.8016,,,,,
2001,2,4,254.8512,,,,,
2001,2,5,198.2176,,,,,
