year,month,day,sediment(t)
2000,9,3,98.06
2000,9,4,62.75
2000,9,5,56.46
2000,9,6,60.66
2000,9,7,38.07
2000,9,8,44.91
2000,9,9,41.00
2000,9,10,67.89
2000,9,11,210.49
2000,9,12,403.44
2000,9,13,650.74
2000,9,14,753.10
2000,9,15,776.29
2000,9,16,522.38
2000,9,17,408.32
2000,9,18,201.98
2000,9,19,243.20
2000,9,20,196.77
2000,9,21,124.65
2000,9,22,103.19
2000,9,23,124.87
2000,9,24,479.34
2000,9,25,673.83
2000,9,26,523.10
2000,9,27,426.99
2000,9,28,357.18
2000,9,29,183.89
2000,9,30,151.43
2000,10,1,127.89
2000,10,2,88.67
2000,10,3,66.12
2000,10,4,92.00
2000,10,5,128.11
2000,10,6,1467.46
2000,10,7,1543.81
2000,10,8,1259.05
2000,10,9,830.49
2000,10,10,488.27
2000,10,11,298.76
2000,10,12,184.42
2000,10,13,148.29
2000,10,14,140.82
2000,10,15,93.58
2000,10,16,71.13
2000,10,17,66.51
2000,10,18,87.51
2000,10,19,93.69
2000,10,20,91.73
2000,10,21,54.61
2000,10,22,51.59
2000,10,23,50.92
2000,10,24,59.89
2000,10,25,60.91
2000,10,26,43.21
2000,10,27,47.61
2000,10,28,38.43
2000,10,29,27.64
2000,10,30,22.55
2000,10,31,24.42
2000,11,1,33.98
2000,11,2,51.68
2000,11,3,73.50
2000,11,4,45.73
2000,11,5,24.04
2000,11,6,28.90
2000,11,7,29.95
2000,11,8,36.71
2000,11,9,42.98
2000,11,10,63.91
2000,11,11,34.52
2000,11,12,68.21
2000,11,13,127.93
2000,11,14,138.57
2000,11,15,101.05
2000,11,16,121.55
2000,11,17,94.75
2000,11,18,73.64
2000,11,19,32.97
2000,11,20,48.90
2000,11,21,31.63
2000,11,22,20.42
2000,11,23,11.87
2000,11,24,11.30
2000,11,25,9.80
2000,11,26,15.02
2000,11,27,16.50
2000,11,28,21.04
2000,11,29,14.63
2000,11,30,16.58
2000,12,1,14.54
2000,12,2,17.67
2000,12,3,14.26
2000,12,4,13.44
2000,12,5,22.58
2000,12,6,12.73
2000,12,7,10.12
2000,12,8,12.17
2000,12,9,10.82
2000,12,10,11.71
2000,12,11,18.25
2000,12,12,1490.25
2000,12,13,1013.37
2000,12,14,657.27
2000,12,15,347.66
2000,12,16,479.76
2000,12,17,3308.83
2000,12,18,5904.82
2000,12,19,3995.84
2000,12,20,1495.71
2000,12,21,773.77
2000,12,22,422.66
2000,12,23,310.91
2000,12,24,115.97
2000,12,25,79.33
2000,12,26,60.49
2000,12,27,59.81
2000,12,28,35.71
2000,12,29,28.73
2000,12,30,33.17
2000,12,31,24.09
2001,1,1,27.04
2001,1,2,18.05
2001,1,3,11.16
2001,1,4,14.59
2001,1,5,12.40
2001,1,6,10.43
2001,1,7,8.29
2001,1,8,8.19
2001,1,9,7.30
2001,1,10,10.64
2001,1,11,6.95
2001,1,12,7.23
2001,1,13,6.63
2001,1,14,3.40
2001,1,15,6.09
2001,1,16,11.87
2001,1,17,11.46
2001,1,18,15.69
2001,1,19,15.88
2001,1,20,21.87
2001,1,21,32.22
2001,1,22,34.26
2001,1,23,22.77
2001,1,24,19.33
2001,1,25,17.06
2001,1,26,13.16
2001,1,27,10.54
2001,1,28,8.80
2001,1,29,12.80
2001,1,30,113.95
2001,1,31,1151.16
2001,2,1,7215.67
2001,2,2,5990.04
2001,2,3,2187.29
2001,2,4,1156.05
2001,2,5,731.32
2001,2,6,448.15
2001,2,7,311.31
2001,2,8,288.22
2001,2,9,2692.80
2001,2,10,30236.15
2001,2,11,33081.07
2001,2,12,22010.74
2001,2,13,14398.48
2001,2,14,8717.56
2001,2,15,14576.68
2001,2,16,20072.34
2001,2,17,15709.34
2001,2,18,9049.41
2001,2,19,2098.27
2001,2,20,1024.41
2001,2,21,704.38
2001,2,22,440.94
2001,2,23,376.46
2001,2,24,433.92
2001,2,25,2751.22
2001,2,26,6818.37
2001,2,27,9198.90
2001,2,28,4388.87
2001,3,1,3482.93
2001,3,2,1672.30
2001,3,3,1152.99
2001,3,4,825.40
2001,3,5,643.60
2001,3,6,730.84
2001,3,7,308.01
2001,3,8,229.62
2001,3,9,161.10
2001,3,10,149.22
2001,3,11,140.68
2001,3,12,115.60
2001,3,13,336.14
2001,3,14,192.74
2001,3,15,160.52
2001,3,16,417.79
2001,3,17,127.78
2001,3,18,156.34
2001,3,19,410.34
2001,3,20,744.73
2001,3,21,526.73
2001,3,22,415.13
2001,3,23,347.99
2001,3,24,316.91
2001,3,25,244.21
2001,3,26,186.81
2001,3,27,131.73
2001,3,28,121.34
2001,3,29,114.05
2001,3,30,142.39
2001,3,31,124.54
2001,4,1,128.19
2001,4,2,117.80
2001,4,3,177.51
2001,4,4,71.17
2001,4,5,67.35
2001,4,6,2594.05
2001,4,7,19408.70
2001,4,8,14182.77
2001,4,9,7055.64
2001,4,10,2899.10
2001,4,11,1425.09
2001,4,12,3785.27
2001,4,13,6544.82
2001,4,14,4594.09
2001,4,15,2150.88
2001,4,16,1014.79
2001,4,17,1379.48
2001,4,18,1299.27
2001,4,19,741.76
2001,4,20,690.61
2001,4,21,1524.06
2001,4,22,1680.99
2001,4,23,2795.52
2001,4,24,2301.00
2001,4,25,1166.10
2001,4,26,773.02
2001,4,27,689.36
2001,4,28,415.93
2001,4,29,304.88
2001,4,30,379.35
2001,5,1,255.77
