year,month,day,TN(kg)
2000,9,22,6822.39
2000,9,23,9225.21
2000,9,24,28876.79
2000,9,25,44890.55
2000,9,26,42606.13
2000,9,27,32582.14
2000,9,28,17794.15
2000,9,29,12713.65
2000,9,30,12073.59
2000,10,1,11049.94
2000,10,2,7984.65
2000,10,3,5443.77
2000,10,4,5965.25
2000,10,5,10157.28
2000,10,6,88929.67
2000,10,7,100067.22
2000,10,8,91811.37
2000,10,9,85091.73
2000,10,10,57465.99
2000,10,11,38352.12
2000,10,12,23300.72
2000,10,13,19120.54
2000,10,14,19367.76
2000,10,15,14332.07
2000,10,16,12068.43
2000,10,17,11965.98
2000,10,18,15640.03
2000,10,19,13831.55
2000,10,20,10145.12
2000,10,21,9508.00
2000,10,22,8383.67
2000,10,23,9913.71
2000,10,24,11623.03
2000,10,25,11557.75
2000,10,26,9687.90
2000,10,27,8656.63
2000,10,28,6633.82
2000,10,29,6959.08
2000,10,30,6560.30
2000,10,31,6218.21
2000,11,1,6969.51
2000,11,2,10557.91
2000,11,3,13345.24
2000,11,4,8011.02
2000,11,5,4582.31
2000,11,6,3786.81
2000,11,7,4775.91
2000,11,8,4657.66
2000,11,9,6458.48
2000,11,10,8651.58
2000,11,11,6807.05
2000,11,12,11164.92
2000,11,13,24767.76
2000,11,14,20994.95
2000,11,15,16426.49
2000,11,16,19025.59
2000,11,17,17781.57
2000,11,18,12854.75
2000,11,19,9898.16
2000,11,20,13052.44
2000,11,21,10723.30
2000,11,22,8419.26
2000,11,23,6944.74
2000,11,24,7206.75
2000,11,25,7108.59
2000,11,26,7644.48
2000,11,27,7885.57
2000,11,28,8241.87
2000,11,29,11094.42
2000,11,30,11299.07
2000,12,1,9423.49
2000,12,2,9170.62
2000,12,3,9489.48
2000,12,4,9465.26
2000,12,5,11211.39
2000,12,6,6672.71
2000,12,7,6904.41
2000,12,8,8151.67
2000,12,9,7671.21
2000,12,10,8993.97
2000,12,11,12847.23
2000,12,12,82384.75
2000,12,13,135370.76
2000,12,14,124950.36
2000,12,15,86107.51
2000,12,16,102577.13
2000,12,17,232325.79
2000,12,18,362174.67
2000,12,19,333025.36
2000,12,20,229916.56
2000,12,21,172413.42
2000,12,22,116052.92
2000,12,23,84246.37
2000,12,24,67407.94
2000,12,25,55602.62
2000,12,26,46995.97
2000,12,27,42725.16
2000,12,28,37083.59
2000,12,29,33251.06
2000,12,30,29454.64
2000,12,31,29035.08
2001,1,1,27739.83
2001,1,2,26000.14
2001,1,3,24100.39
2001,1,4,21516.96
2001,1,5,20032.16
2001,1,6,18031.37
2001,1,7,16321.22
2001,1,8,16082.83
2001,1,9,15593.86
2001,1,10,14460.73
2001,1,11,14029.09
2001,1,12,13898.22
2001,1,13,13178.55
2001,1,14,12283.90
2001,1,15,11034.95
2001,1,16,10803.86
2001,1,17,12351.86
2001,1,18,15767.37
2001,1,19,19935.01
2001,1,20,24188.49
2001,1,21,27594.88
2001,1,22,24756.22
2001,1,23,23054.41
2001,1,24,20029.47
2001,1,25,18154.34
2001,1,26,16379.63
2001,1,27,15077.73
2001,1,28,13869.04
2001,1,29,14880.81
2001,1,30,24460.92
2001,1,31,71856.17
2001,2,1,279885.34
2001,2,2,243823.12
2001,2,3,197775.95
2001,2,4,138015.99
2001,2,5,113919.59
2001,2,6,95680.52
2001,2,7,85190.21
2001,2,8,80418.81
2001,2,9,188102.94
2001,2,10,659232.06
2001,2,11,712378.73
2001,2,12,564932.92
2001,2,13,442806.91
2001,2,14,352314.76
2001,2,15,459011.18
2001,2,16,537811.31
2001,2,17,477648.78
2001,2,18,353782.85
2001,2,19,262979.50
2001,2,20,197170.33
2001,2,21,151109.48
2001,2,22,121502.26
2001,2,23,106012.56
2001,2,24,80937.59
2001,2,25,141182.02
2001,2,26,318773.79
2001,2,27,292762.61
2001,2,28,228216.52
2001,3,1,191150.51
2001,3,2,167507.38
2001,3,3,140009.61
2001,3,4,122795.48
2001,3,5,99880.59
2001,3,6,72386.80
2001,3,7,54270.98
2001,3,8,45696.24
2001,3,9,39484.90
2001,3,10,36812.75
2001,3,11,32173.72
2001,3,12,30654.81
2001,3,13,41055.92
2001,3,14,45630.77
2001,3,15,39537.57
2001,3,16,39746.79
2001,3,17,43857.14
2001,3,18,44890.23
2001,3,19,68792.69
2001,3,20,102976.78
2001,3,21,106598.06
2001,3,22,93110.64
2001,3,23,81112.97
2001,3,24,73422.69
2001,3,25,61627.91
2001,3,26,55654.14
2001,3,27,40901.24
2001,3,28,36605.77
2001,3,29,33157.00
2001,3,30,32610.22
2001,3,31,30789.64
2001,4,1,29908.97
2001,4,2,25217.47
2001,4,3,19278.05
2001,4,4,15841.01
2001,4,5,14102.58
2001,4,6,122133.87
2001,4,7,447602.80
2001,4,8,399758.09
2001,4,9,336089.64
2001,4,10,208774.93
2001,4,11,139801.91
2001,4,12,229852.34
2001,4,13,315335.57
2001,4,14,293209.05
2001,4,15,195063.37
2001,4,16,152487.56
2001,4,17,207412.29
2001,4,18,199068.70
2001,4,19,141694.77
2001,4,20,108819.89
2001,4,21,155382.74
2001,4,22,228264.76
2001,4,23,167409.30
2001,4,24,284999.11
2001,4,25,164824.61
2001,4,26,132095.20
2001,4,27,80114.59
2001,4,28,76145.22
2001,4,29,62522.63
2001,4,30,46622.95
2001,5,1,34690.86
2001,5,2,31273.66
2001,5,3,31625.04
2001,5,4,23115.61
2001,5,5,15713.25
2001,5,6,17793.13
2001,5,7,18247.27
2001,5,8,25049.70
2001,5,9,23666.73
2001,5,10,22635.31
2001,5,11,17330.01
2001,5,12,15002.73
2001,5,13,12282.39
2001,5,14,13058.90
2001,5,15,36127.09
2001,5,16,545683.70
2001,5,17,653983.45
2001,5,18,510030.38
2001,5,19,663878.65
2001,5,20,578089.86
2001,5,21,498249.18
2001,5,22,383507.55
2001,5,23,268922.84
2001,5,24,245460.07
2001,5,25,260460.98
2001,5,26,390346.57
2001,5,27,667977.37
2001,5,28,810980.40
2001,5,29,689266.76
2001,5,30,502466.50
2001,5,31,315105.20
2001,6,1,260379.17
2001,6,2,224228.22
2001,6,3,278520.15
2001,6,4,221724.05
2001,6,5,168490.70
2001,6,6,285194.88
2001,6,7,622374.62
2001,6,8,475296.82
2001,6,9,292947.58
2001,6,10,222634.11
2001,6,11,196844.04
2001,6,12,152739.06
2001,6,13,132453.96
2001,6,14,107628.11
2001,6,15,81884.94
2001,6,16,75642.97
2001,6,17,57152.29
2001,6,18,45089.68
2001,6,19,33506.66
2001,6,20,25894.88
2001,6,21,31055.78
2001,6,22,40909.49
2001,6,23,34303.09
2001,6,24,38567.14
2001,6,25,47317.07
2001,6,26,37156.16
2001,6,27,25494.06
2001,6,28,19391.51
2001,6,29,17805.22
2001,6,30,19553.45
2001,7,1,15495.95
2001,7,2,12206.56
2001,7,3,11307.24
2001,7,4,10165.75
2001,7,5,7978.61
2001,7,6,7248.58
2001,7,7,6852.62
2001,7,8,6478.80
2001,7,9,5715.49
2001,7,10,5777.49
2001,7,11,4651.76
2001,7,12,3711.85
2001,7,13,3192.57
2001,7,14,2844.57
2001,7,15,2120.95
2001,7,16,2448.00
2001,7,17,2342.14
2001,7,18,1470.70
2001,7,19,1174.84
2001,7,20,1182.58
2001,7,21,1894.60
2001,7,22,1933.99
2001,7,23,1956.63
2001,7,24,3255.74
2001,7,25,5323.49
2001,7,26,8679.65
2001,7,27,7366.19
2001,7,28,7596.96
2001,7,29,5531.63
2001,7,30,4172.32
2001,7,31,6128.89
2001,8,1,3037.55
2001,8,2,3237.89
2001,8,3,2338.84
2001,8,4,3270.27
2001,8,5,2190.81
2001,8,6,1626.10
2001,8,7,1650.78
2001,8,8,1020.02
2001,8,9,996.88
2001,8,10,2117.84
2001,8,11,734.23
2001,8,12,466.57
2001,8,13,881.53
2001,8,14,826.42
2001,8,15,594.84
2001,8,16,766.21
2001,8,17,1635.86
2001,8,18,683.77
2001,8,19,626.12
2001,8,20,594.53
2001,8,21,313.59
2001,8,22,1066.47
2001,8,23,3289.95
2001,8,24,8758.65
2001,8,25,17223.22
2001,8,26,8530.71
2001,8,27,5480.85
2001,8,28,4044.96
2001,8,29,3826.29
2001,8,30,2762.46
2001,8,31,1978.95
2001,9,1,1403.34
2001,9,2,2167.67
2001,9,3,2013.50
2001,9,4,1746.54
2001,9,5,1355.77
2001,9,6,784.42
2001,9,7,893.24
2001,9,8,714.95
2001,9,9,621.80
2001,9,10,1876.88
2001,9,11,2409.02
2001,9,12,3442.26
2001,9,13,2908.30
2001,9,14,2420.89
2001,9,15,1870.84
2001,9,16,1144.27
2001,9,17,970.50
2001,9,18,1592.66
2001,9,19,2303.93
2001,9,20,3427.03
2001,9,21,5816.22
2001,9,22,17306.18
2001,9,23,14118.19
2001,9,24,8857.92
2001,9,25,7403.95
2001,9,26,9051.53
2001,9,27,6270.29
2001,9,28,6287.81
2001,9,29,6815.42
2001,9,30,4784.94
2001,10,1,4098.07
2001,10,2,3614.57
2001,10,3,3088.50
2001,10,4,2590.95
2001,10,5,4472.29
2001,10,6,10880.80
2001,10,7,21680.52
2001,10,8,49630.95
2001,10,9,41352.01
2001,10,10,31723.07
2001,10,11,25436.96
2001,10,12,112103.99
2001,10,13,504895.77
2001,10,14,473358.12
2001,10,15,343900.46
2001,10,16,395977.80
2001,10,17,570302.13
2001,10,18,586524.19
2001,10,19,476660.85
2001,10,20,344450.53
2001,10,21,227951.23
2001,10,22,206927.50
2001,10,23,392298.64
2001,10,24,426640.32
2001,10,25,560665.53
2001,10,26,622376.36
2001,10,27,438160.73
2001,10,28,270425.81
2001,10,29,157924.76
2001,10,30,108257.87
2001,10,31,82543.30
2001,11,1,74189.44
2001,11,2,47944.67
2001,11,3,40213.91
2001,11,4,39934.52
2001,11,5,31655.63
2001,11,6,24562.52
2001,11,7,24773.86
2001,11,8,25391.83
2001,11,9,18956.74
2001,11,10,18460.12
2001,11,11,18466.81
2001,11,12,15707.80
2001,11,13,14353.80
2001,11,14,12158.65
2001,11,15,13329.06
2001,11,16,12483.42
2001,11,17,12274.26
2001,11,18,11283.71
2001,11,19,10609.18
2001,11,20,10179.27
2001,11,21,10403.75
2001,11,22,8574.38
2001,11,23,8843.21
2001,11,24,9357.04
2001,11,25,14578.75
2001,11,26,10716.86
2001,11,27,13159.79
2001,11,28,13291.87
2001,11,29,19871.81
2001,11,30,154298.58
2001,12,1,457824.89
2001,12,2,475034.84
2001,12,3,353083.18
2001,12,4,245085.11
2001,12,5,181991.54
2001,12,6,134404.56
2001,12,7,112090.15
2001,12,8,79656.22
2001,12,9,60340.78
2001,12,10,48858.47
2001,12,11,39043.38
2001,12,12,36410.61
2001,12,13,31567.66
2001,12,14,38205.69
2001,12,15,289822.28
2001,12,16,419134.63
2001,12,17,568648.30
2001,12,18,933940.32
2001,12,19,857646.82
2001,12,20,664957.59
2001,12,21,496581.01
2001,12,22,330254.86
2001,12,23,240832.06
2001,12,24,172043.68
2001,12,25,125862.14
2001,12,26,93804.46
2001,12,27,68262.87
2001,12,28,48364.61
2001,12,29,44471.65
2001,12,30,36352.65
2001,12,31,32372.42
2002,1,1,30637.22
2002,1,2,22538.86
2002,1,3,22144.74
2002,1,4,22607.01
2002,1,5,21216.00
2002,1,6,20159.24
2002,1,7,14741.23
2002,1,8,18499.27
2002,1,9,17504.85
2002,1,10,17511.09
2002,1,11,17449.04
2002,1,12,19541.73
2002,1,13,19110.30
2002,1,14,17400.15
2002,1,15,16892.89
2002,1,16,16962.79
2002,1,17,15632.37
2002,1,18,16562.51
2002,1,19,19433.90
2002,1,20,18249.32
2002,1,21,13932.06
2002,1,22,15311.08
2002,1,23,14532.93
2002,1,24,13306.42
2002,1,25,13215.56
2002,1,26,13391.36
2002,1,27,14502.63
2002,1,28,13867.90
2002,1,29,15052.56
2002,1,30,49046.36
2002,1,31,475445.24
2002,2,1,1248569.85
2002,2,2,1370582.21
2002,2,3,1166887.33
2002,2,4,794372.02
2002,2,5,509873.01
2002,2,6,339229.50
2002,2,7,259988.37
2002,2,8,189014.09
2002,2,9,126872.27
2002,2,10,101272.79
2002,2,11,75927.18
2002,2,12,74224.46
2002,2,13,69115.21
2002,2,14,66124.62
2002,2,15,58433.08
2002,2,16,46807.44
2002,2,17,39584.03
2002,2,18,37353.14
2002,2,19,32507.11
2002,2,20,34945.68
2002,2,21,105719.83
2002,2,22,148155.49
2002,2,23,116342.03
2002,2,24,84794.37
2002,2,25,74995.93
2002,2,26,68640.47
2002,2,27,92163.48
2002,2,28,84779.23
2002,3,1,73750.65
2002,3,2,62268.13
2002,3,3,209428.71
2002,3,4,353061.74
2002,3,5,311201.56
2002,3,6,208197.36
2002,3,7,149263.92
2002,3,8,127951.73
2002,3,9,120694.29
2002,3,10,223900.10
2002,3,11,249563.42
2002,3,12,194160.44
2002,3,13,136329.90
2002,3,14,115458.26
2002,3,15,98396.08
2002,3,16,91034.48
2002,3,17,70710.63
2002,3,18,62254.24
2002,3,19,44967.55
2002,3,20,51285.82
2002,3,21,36263.01
2002,3,22,32412.53
2002,3,23,25234.31
2002,3,24,25353.77
2002,3,25,28555.82
2002,3,26,26660.33
2002,3,27,31754.75
2002,3,28,39703.19
2002,3,29,50697.72
2002,3,30,374087.76
2002,3,31,756442.72
2002,4,1,770202.53
2002,4,2,673914.65
2002,4,3,631666.58
2002,4,4,503291.03
2002,4,5,385482.62
2002,4,6,301584.22
2002,4,7,221499.81
2002,4,8,184486.44
2002,4,9,414581.33
2002,4,10,508311.91
2002,4,11,467305.70
2002,4,12,330490.95
2002,4,13,380568.44
2002,4,14,468897.22
2002,4,15,394116.66
2002,4,16,337494.61
2002,4,17,271960.89
2002,4,18,181460.77
2002,4,19,134232.00
2002,4,20,112157.66
2002,4,21,95424.74
2002,4,22,61589.49
2002,4,23,51604.92
2002,4,24,55056.29
2002,4,25,37399.50
2002,4,26,30743.64
2002,4,27,27260.72
2002,4,28,35157.40
2002,4,29,54405.48
2002,4,30,84501.01
2002,5,1,82949.17
2002,5,2,120334.40
2002,5,3,282536.20
2002,5,4,176918.71
2002,5,5,109559.89
2002,5,6,67476.56
2002,5,7,52029.38
2002,5,8,53661.05
2002,5,9,66528.29
2002,5,10,103481.41
2002,5,11,90109.01
2002,5,12,135866.72
2002,5,13,475105.27
2002,5,14,564202.58
2002,5,15,633452.53
2002,5,16,546212.44
2002,5,17,400097.50
2002,5,18,327146.10
2002,5,19,265589.59
2002,5,20,189844.54
2002,5,21,121608.99
2002,5,22,99813.59
2002,5,23,71563.15
2002,5,24,57322.19
2002,5,25,49767.80
2002,5,26,46457.44
2002,5,27,62206.83
2002,5,28,50597.83
2002,5,29,41016.16
2002,5,30,47489.41
2002,5,31,69888.86
2002,6,1,67756.34
2002,6,2,36768.83
2002,6,3,30805.21
2002,6,4,39207.84
2002,6,5,36202.78
2002,6,6,86622.98
2002,6,7,111056.42
2002,6,8,87846.34
2002,6,9,60039.31
2002,6,10,37107.97
2002,6,11,29418.11
2002,6,12,27479.83
2002,6,13,24615.38
2002,6,14,27691.58
2002,6,15,26714.01
2002,6,16,22473.20
2002,6,17,21751.96
2002,6,18,17691.61
2002,6,19,14727.45
2002,6,20,15215.15
2002,6,21,12931.32
2002,6,22,13387.08
2002,6,23,9206.82
2002,6,24,9056.96
2002,6,25,9257.56
2002,6,26,14971.44
2002,6,27,23023.51
2002,6,28,43063.07
2002,6,29,52821.48
2002,6,30,34718.05
2002,7,1,20746.28
2002,7,2,10745.85
2002,7,3,6983.33
2002,7,4,5359.71
2002,7,5,4446.93
2002,7,6,4113.54
2002,7,7,3258.79
2002,7,8,3377.07
2002,7,9,3836.51
2002,7,10,2898.44
2002,7,11,3659.90
2002,7,12,3585.09
2002,7,13,2481.78
2002,7,14,2605.23
2002,7,15,2658.77
2002,7,16,2693.48
2002,7,17,1802.14
2002,7,18,1563.20
