year,month,day,flow (cms)
1975,8,20,37.661344
1975,8,21,32.281152
1975,8,22,63.7128
1975,8,23,161.122592
1975,8,24,150.645376
1975,8,25,101.090976
1975,8,26,97.69296
1975,8,27,117.797888
1975,8,28,128.558272
1975,8,29,112.417696
1975,8,30,88.348416
1975,8,31,155.176064
1975,9,1,142.150336
1975,9,2,108.453344
1975,9,3,83.251392
1975,9,4,74.473184
1975,9,5,80.70288
1975,9,6,173.581984
1975,9,7,233.6136
1975,9,8,173.298816
1975,9,9,114.966208
1975,9,10,80.136544
1975,9,11,60.88112
1975,9,12,103.639488
1975,9,13,175.56416
1975,9,14,160.839424
1975,9,15,121.195904
1975,9,16,83.53456
1975,9,17,60.597952
1975,9,18,51.819744
1975,9,19,47.289056
1975,9,20,50.97024
1975,9,21,54.651424
1975,9,22,54.934592
1975,9,23,52.102912
1975,9,24,36.528672
1975,9,25,42.4752
1975,9,26,36.528672
1975,9,27,32.56432
1975,9,28,26.334624
1975,9,29,23.36136
1975,9,30,22.8516576
1975,10,1,20.0766112
1975,10,2,18.7457216
1975,10,3,18.7457216
1975,10,4,17.4714656
1975,10,5,17.4714656
1975,10,6,17.0750304
1975,10,7,13.0823616
1975,10,8,14.4132512
1975,10,9,21.0110656
1975,10,10,21.94552
1975,10,11,22.4269056
1975,10,12,22.4269056
1975,10,13,21.4641344
1975,10,14,20.52968
1975,10,15,17.8962176
1975,10,16,14.8946368
1975,10,17,13.0823616
1975,10,18,18.3209696
1975,10,19,57.199936
1975,10,20,133.655296
1975,10,21,153.760224
1975,10,22,136.486976
1975,10,23,105.338496
1975,10,24,79.003872
1975,10,25,66.827648
1975,10,26,51.819744
1975,10,27,48.704896
1975,10,28,40.493024
1975,10,29,33.98016
1975,10,30,31.14848
1975,10,31,28.883136
1975,11,1,28.883136
1975,11,2,25.909872
1975,11,3,26.90096
1975,11,4,80.70288
1975,11,5,36.245504
1975,11,6,24.918784
1975,11,7,27.4106624
1975,11,8,26.90096
1975,11,9,26.90096
1975,11,10,55.784096
1975,11,11,40.493024
1975,11,12,64.845472
1975,11,13,59.182112
1975,11,14,57.766272
1975,11,15,53.80192
1975,11,16,50.687072
1975,11,17,44.457376
1975,11,18,36.81184
1975,11,19,33.413824
1975,11,20,31.714816
1975,11,21,34.546496
1975,11,22,26.90096
1975,11,23,27.9203648
1975,11,24,28.883136
1975,11,25,32.281152
1975,11,26,25.909872
1975,11,27,34.546496
1975,11,28,28.883136
1975,11,29,34.546496
1975,11,30,191.987904
1975,12,1,342.63328
1975,12,2,387.94016
1975,12,3,297.3264
1975,12,4,215.20768
1975,12,5,181.510688
1975,12,6,170.183968
1975,12,7,232.764096
1975,12,8,235.02944
1975,12,9,193.120576
1975,12,10,160.839424
1975,12,11,131.67312
1975,12,12,117.231552
1975,12,13,110.43552
1975,12,14,112.134528
1975,12,15,348.29664
1975,12,16,869.32576
1975,12,17,826.85056
1975,12,18,594.6528
1975,12,19,368.1184
1975,12,20,270.991776
1975,12,21,206.146304
1975,12,22,167.06912
1975,12,23,134.5048
1975,12,24,118.93056
1975,12,25,90.61376
1975,12,26,73.62368
1975,12,27,65.12864
1975,12,28,59.46528
1975,12,29,56.6336
1975,12,30,53.80192
1975,12,31,82.968224
1976,1,1,144.982016
1976,1,2,210.676992
1976,1,3,225.684896
1976,1,4,215.20768
1976,1,5,199.63344
1976,1,6,113.2672
1976,1,7,96.27712
1976,1,8,82.11872
1976,1,9,70.792
1976,1,10,62.29696
1976,1,11,59.46528
1976,1,12,56.6336
1976,1,13,53.80192
1976,1,14,56.6336
1976,1,15,67.96032
1976,1,16,84.9504
1976,1,17,101.94048
1976,1,18,84.9504
1976,1,19,67.96032
1976,1,20,62.29696
1976,1,21,56.6336
1976,1,22,50.97024
1976,1,23,48.13856
1976,1,24,45.30688
1976,1,25,42.4752
1976,1,26,70.792
1976,1,27,274.956128
1976,1,28,461.56384
1976,1,29,458.73216
1976,1,30,385.10848
1976,1,31,297.3264
1976,2,1,198.2176
1976,2,2,152.91072
1976,2,3,101.94048
1976,2,4,79.28704
1976,2,5,62.29696
1976,2,6,45.30688
1976,2,7,33.98016
1976,2,8,31.14848
1976,2,9,33.98016
1976,2,10,42.4752
1976,2,11,260.797728
1976,2,12,642.79136
1976,2,13,914.63264
1976,2,14,1410.17664
1976,2,15,1237.44416
1976,2,16,1325.22624
1976,2,17,1772.63168
1976,2,18,1902.88896
1976,2,19,1939.7008
1976,2,20,1826.4336
1976,2,21,1812.2752
1976,2,22,1868.9088
1976,2,23,1925.5424
1976,2,24,1755.6416
1976,2,25,1245.9392
1976,2,26,792.8704
1976,2,27,509.7024
1976,2,28,396.4352
1976,2,29,311.4848
1976,3,1,254.8512
1976,3,2,273.540288
1976,3,3,339.8016
1976,3,4,739.06848
1976,3,5,1299.74112
1976,3,6,1449.82016
1976,3,7,1268.59264
1976,3,8,914.63264
1976,3,9,682.43488
1976,3,10,532.35584
1976,3,11,396.4352
1976,3,12,302.98976
1976,3,13,257.116544
1976,3,14,227.95024
1976,3,15,191.987904
1976,3,16,169.051296
1976,3,17,144.132512
1976,3,18,131.67312
1976,3,19,126.292928
1976,3,20,118.93056
1976,3,21,127.991936
1976,3,22,127.991936
1976,3,23,147.813696
1976,3,24,138.185984
1976,3,25,116.382048
1976,3,26,114.68304
1976,3,27,122.611744
1976,3,28,120.912736
1976,3,29,139.318656
1976,3,30,142.150336
1976,3,31,122.611744
1976,4,1,112.134528
1976,4,2,97.409792
1976,4,3,92.312768
1976,4,4,84.667232
1976,4,5,83.817728
1976,4,6,76.738528
1976,4,7,69.942496
1976,4,8,61.164288
1976,4,9,59.748448
1976,4,10,51.819744
1976,4,11,36.245504
1976,4,12,40.493024
1976,4,13,36.245504
1976,4,14,36.81184
1976,4,15,36.245504
1976,4,16,35.112832
1976,4,17,34.546496
1976,4,18,39.926688
1976,4,19,40.493024
1976,4,20,33.413824
1976,4,21,43.89104
1976,4,22,50.687072
1976,4,23,39.360352
1976,4,24,46.72272
1976,4,25,86.36624
1976,4,26,254.568032
1976,4,27,317.14816
1976,4,28,232.764096
1976,4,29,190.005728
1976,4,30,149.795872
1976,5,1,126.292928
1976,5,2,117.231552
1976,5,3,92.312768
1976,5,4,72.20784
1976,5,5,72.774176
1976,5,6,49.271232
1976,5,7,78.154368
1976,5,8,135.354304
1976,5,9,181.510688
1976,5,10,151.778048
1976,5,11,124.310752
1976,5,12,106.188
1976,5,13,88.914752
1976,5,14,82.401888
1976,5,15,62.013792
1976,5,16,72.20784
1976,5,17,82.401888
1976,5,18,117.231552
1976,5,19,98.259296
1976,5,20,83.817728
1976,5,21,69.942496
1976,5,22,58.332608
1976,5,23,51.819744
1976,5,24,45.30688
1976,5,25,39.926688
1976,5,26,38.22768
1976,5,27,31.714816
1976,5,28,32.847488
1976,5,29,32.281152
1976,5,30,30.582144
1976,5,31,36.245504
1976,6,1,45.30688
1976,6,2,72.20784
1976,6,3,138.185984
1976,6,4,159.98992
1976,6,5,118.93056
1976,6,6,82.401888
1976,6,7,62.013792
1976,6,8,51.253408
1976,6,9,44.457376
1976,6,10,39.926688
1976,6,11,31.14848
1976,6,12,20.52968
1976,6,13,24.4090816
1976,6,14,21.0110656
1976,6,15,20.0766112
1976,6,16,17.0750304
1976,6,17,13.5354304
1976,6,18,14.8946368
1976,6,19,22.9082912
1976,6,20,21.0110656
1976,6,21,24.4090816
1976,6,22,31.14848
1976,6,23,30.582144
1976,6,24,32.847488
1976,6,25,40.493024
1976,6,26,44.457376
1976,6,27,71.358336
1976,6,28,76.738528
1976,6,29,78.154368
1976,6,30,71.358336
1976,7,1,58.332608
1976,7,2,56.350432
1976,7,3,50.687072
1976,7,4,45.30688
1976,7,5,45.30688
1976,7,6,38.22768
1976,7,7,32.281152
1976,7,8,26.90096
1976,7,9,25.909872
1976,7,10,29.449472
1976,7,11,31.14848
1976,7,12,21.0110656
1976,7,13,19.1987904
1976,7,14,19.1987904
1976,7,15,17.4714656
1976,7,16,17.8962176
1976,7,17,13.0823616
1976,7,18,12.6576096
1976,7,19,11.8364224
1976,7,20,11.8364224
1976,7,21,16.2538432
1976,7,22,14.8946368
1976,7,23,26.90096
1976,7,24,37.378176
1976,7,25,47.289056
1976,7,26,45.873216
1976,7,27,42.4752
1976,7,28,34.546496
1976,7,29,33.413824
1976,7,30,24.918784
1976,7,31,30.015808
1976,8,1,23.3896768
1976,8,2,19.1987904
1976,8,3,17.4714656
1976,8,4,18.3209696
1976,8,5,13.5354304
1976,8,6,13.0823616
1976,8,7,14.4132512
1976,8,8,11.8364224
1976,8,9,19.1987904
1976,8,10,15.3760224
1976,8,11,15.3760224
1976,8,12,16.6502784
1976,8,13,15.3760224
1976,8,14,16.6502784
1976,8,15,15.3760224
1976,8,16,23.3896768
1976,8,17,33.98016
1976,8,18,26.3912576
1976,8,19,20.52968
1976,8,20,17.8962176
1976,8,21,15.3760224
1976,8,22,14.4132512
1976,8,23,14.4132512
1976,8,24,9.9391968
1976,8,25,9.2312768
1976,8,26,8.5516736
1976,8,27,8.8914752
1976,8,28,7.5889024
1976,8,29,7.928704
1976,8,30,6.088112
1976,8,31,5.5500928
1976,9,1,5.804944
1976,9,2,4.1342528
1976,9,3,4.813856
1976,9,4,6.088112
1976,9,5,5.2952416
1976,9,6,2.83168
1976,9,7,4.5590048
1976,9,8,5.5500928
1976,9,9,5.5500928
1976,9,10,10.2789984
1976,9,11,7.2774176
1976,9,12,5.2952416
1976,9,13,8.2401888
1976,9,14,9.5710784
1976,9,15,6.654448
1976,9,16,7.2774176
1976,9,17,12.2328576
1976,9,18,10.2789984
1976,9,19,8.2401888
1976,9,20,9.2312768
1976,9,21,9.9391968
1976,9,22,7.928704
1976,9,23,8.5516736
1976,9,24,5.0403904
1976,9,25,5.804944
1976,9,26,8.5516736
1976,9,27,13.0823616
1976,9,28,11.043552
1976,9,29,17.0750304
1976,9,30,18.7457216
1976,10,1,12.2611744
1976,10,2,8.353456
1976,10,3,7.928704
1976,10,4,8.0419712
1976,10,5,8.778208
1976,10,6,13.6203808
1976,10,7,15.149488
1976,10,8,12.0629568
1976,10,9,18.0094848
1976,10,10,17.414832
1976,10,11,14.8096864
1976,10,12,13.1106784
1976,10,13,14.6397856
1976,10,14,8.353456
1976,10,15,10.760384
1976,10,16,6.1164288
1976,10,17,3.8794016
1976,10,18,5.7483104
1976,10,19,5.521776
1976,10,20,21.2942336
1976,10,21,24.7772
1976,10,22,11.8647392
1976,10,23,6.1164288
1976,10,24,9.2595936
1976,10,25,10.760384
1976,10,26,10.2789984
1976,10,27,14.1584
1976,10,28,75.889024
1976,10,29,32.847488
1976,10,30,13.4787968
1976,10,31,13.9601824
1976,11,1,11.2417696
1976,11,2,12.6292928
1976,11,3,11.5249376
1976,11,4,8.9764256
1976,11,5,9.8542464
1976,11,6,11.2700864
1976,11,7,8.0986048
1976,11,8,8.6649408
1976,11,9,8.8914752
1976,11,10,7.0225664
1976,11,11,6.4845472
1976,11,12,7.220784
1976,11,13,9.3728608
